DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;
Casos Prováveis por Município infecção e Sexo;;;;;
Período:2015;;;;;
Município infecção;Em Branco;Ignorado;Masculino;Feminino;Total
353600 Parapuã;-;-;196;253;449
353610 Pardinho;-;-;5;7;12
353620 Pariquera-Açu;-;-;60;69;129
353625 Parisi;-;-;14;19;33
353630 Patrocínio Paulista;-;-;4;2;6
353640 Paulicéia;-;-;9;10;19
353650 Paulínia;-;13;1155;1237;2405
353657 Paulistânia;-;-;8;9;17
353660 Paulo de Faria;-;-;51;66;117
353670 Pederneiras;-;-;331;362;693
353690 Pedranópolis;-;-;13;15;28
353700 Pedregulho;-;-;14;17;31
353710 Pedreira;-;1;150;152;303
353715 Pedrinhas Paulista;-;-;21;35;56
353720 Pedro de Toledo;-;-;80;95;175
353730 Penápolis;1;1;1237;1701;2940
353740 Pereira Barreto;-;-;150;209;359
353750 Pereiras;-;-;5;5;10
353760 Peruíbe;-;-;1022;1397;2419
353770 Piacatu;-;-;3;7;10
353780 Piedade;-;-;31;29;60
353790 Pilar do Sul;-;-;7;6;13
353800 Pindamonhangaba;-;-;485;468;953
353810 Pindorama;-;-;52;81;133
353820 Pinhalzinho;-;-;1;2;3
353830 Piquerobi;-;-;-;2;2
353850 Piquete;-;-;38;64;102
353860 Piracaia;-;-;120;168;288
353870 Piracicaba;-;1;1850;1941;3792
353880 Piraju;-;-;36;25;61
353890 Pirajuí;-;-;624;894;1518
353900 Pirangi;-;1;414;522;937
353910 Pirapora do Bom Jesus;-;-;32;48;80
353920 Pirapozinho;-;-;662;917;1579
353930 Pirassununga;-;3;1942;2434;4379
353940 Piratininga;-;-;188;216;404
353950 Pitangueiras;-;-;103;128;231
353960 Planalto;-;-;129;132;261
353970 Platina;-;-;5;5;10
353980 Poá;-;-;90;96;186
353990 Poloni;-;-;15;20;35
354000 Pompéia;-;-;199;237;436
354010 Pongaí;-;-;9;21;30
354020 Pontal;-;-;104;123;227
354025 Pontalinda;-;-;20;52;72
354030 Pontes Gestal;-;-;31;33;64
354040 Populina;-;-;49;58;107
354050 Porangaba;-;-;9;12;21
354060 Porto Feliz;-;-;287;373;660
354070 Porto Ferreira;-;-;1928;2528;4456
354075 Potim;-;-;368;524;892
354080 Potirendaba;-;-;69;81;150
354085 Pracinha;-;-;13;12;25
354090 Pradópolis;-;-;27;24;51
354100 Praia Grande;-;7;1560;2085;3652
354105 Pratânia;-;-;4;2;6
354110 Presidente Alves;-;-;5;15;20
354120 Presidente Bernardes;-;-;44;49;93
354130 Presidente Epitácio;-;1;113;141;255
354140 Presidente Prudente;-;2;1552;1889;3443
354150 Presidente Venceslau;-;-;235;345;580
354160 Promissão;1;-;212;206;419
354170 Quatá;-;-;157;176;333
354180 Queiroz;-;-;18;40;58
354190 Queluz;-;-;127;187;314
354200 Quintana;-;-;3;3;6
354210 Rafard;-;-;83;98;181
354220 Rancharia;-;-;197;214;411
354230 Redenção da Serra;-;-;4;1;5
354240 Regente Feijó;-;-;45;49;94
354250 Reginópolis;-;-;1;5;6
354260 Registro;-;-;148;187;335
354270 Restinga;-;-;24;32;56
354280 Ribeira;-;-;1;-;1
354290 Ribeirão Bonito;-;-;140;154;294
354310 Ribeirão Corrente;-;-;11;7;18
354320 Ribeirão do Sul;-;-;25;36;61
354323 Ribeirão dos Índios;-;-;18;21;39
354325 Ribeirão Grande;-;-;1;1;2
354330 Ribeirão Pires;-;-;14;14;28
354340 Ribeirão Preto;-;4;2398;2731;5133
354360 Rifaina;-;-;70;97;167
354370 Rincão;-;-;44;63;107
354380 Rinópolis;-;-;147;205;352
354390 Rio Claro;-;8;9893;12022;21923
354400 Rio das Pedras;-;-;182;195;377
354420 Riolândia;-;-;71;114;185
354425 Rosana;-;-;264;291;555
354430 Roseira;1;-;30;26;57
354440 Rubiácea;1;-;51;71;123
354450 Rubinéia;-;-;27;24;51
354460 Sabino;-;-;43;67;110
354470 Sagres;-;-;14;28;42
354480 Sales;-;-;157;223;380
354490 Sales Oliveira;-;-;8;8;16
354500 Salesópolis;-;-;6;8;14
354510 Salmourão;-;-;46;45;91
354515 Saltinho;-;-;15;22;37
354520 Salto;-;-;689;747;1436
354530 Salto de Pirapora;-;-;825;1028;1853
354540 Salto Grande;-;-;26;39;65
354550 Sandovalina;-;-;10;13;23
354560 Santa Adélia;-;-;137;202;339
354570 Santa Albertina;-;-;93;143;236
354580 Santa Bárbara d'Oeste;-;-;1060;1172;2232
354600 Santa Branca;-;-;10;15;25
354610 Santa Clara d'Oeste;-;-;9;17;26
354620 Santa Cruz da Conceição;-;-;8;13;21
354625 Santa Cruz da Esperança;-;-;3;15;18
354630 Santa Cruz das Palmeiras;-;-;414;463;877
354640 Santa Cruz do Rio Pardo;-;-;284;388;672
354650 Santa Ernestina;-;-;101;86;187
354660 Santa Fé do Sul;-;-;216;301;517
354670 Santa Gertrudes;-;-;80;126;206
354680 Santa Isabel;-;-;110;99;209
354690 Santa Lúcia;-;-;44;49;93
354700 Santa Maria da Serra;-;-;9;10;19
354710 Santa Mercedes;-;-;41;42;83
354740 Santa Rita d'Oeste;-;-;67;96;163
354750 Santa Rita do Passa Quatro;-;2;321;418;741
354760 Santa Rosa de Viterbo;-;-;33;49;82
354765 Santa Salete;-;-;2;3;5
354720 Santana da Ponte Pensa;-;-;5;12;17
354730 Santana de Parnaíba;-;1;384;472;857
354770 Santo Anastácio;-;-;61;98;159
354780 Santo André;-;5;777;685;1467
354790 Santo Antônio da Alegria;-;-;4;5;9
354800 Santo Antônio de Posse;-;3;1509;1681;3193
354805 Santo Antônio do Aracanguá;1;-;28;40;69
354810 Santo Antônio do Jardim;-;-;32;32;64
354820 Santo Antônio do Pinhal;-;-;1;-;1
354830 Santo Expedito;-;-;4;1;5
354840 Santópolis do Aguapeí;-;-;9;12;21
354850 Santos;-;7;1531;2202;3740
354860 São Bento do Sapucaí;-;-;2;8;10
354870 São Bernardo do Campo;-;2;1501;1379;2882
354880 São Caetano do Sul;-;-;157;217;374
354890 São Carlos;-;2;2251;2633;4886
354900 São Francisco;-;-;7;14;21
354910 São João da Boa Vista;-;1;2419;3111;5531
354920 São João das Duas Pontes;-;-;72;69;141
354925 São João de Iracema;-;-;-;2;2
354930 São João do Pau d'Alho;-;-;6;7;13
354940 São Joaquim da Barra;-;-;377;459;836
354950 São José da Bela Vista;-;-;17;21;38
354960 São José do Barreiro;-;-;25;50;75
354970 São José do Rio Pardo;-;1;454;565;1020
354980 São José do Rio Preto;1;2;10776;12025;22804
354990 São José dos Campos;-;4;7224;7350;14578
354995 São Lourenço da Serra;-;-;2;9;11
355000 São Luís do Paraitinga;-;-;2;2;4
355010 São Manuel;-;-;150;186;336
355020 São Miguel Arcanjo;-;-;11;11;22
355030 São Paulo;7;52;21889;22644;44592
355040 São Pedro;-;-;152;204;356
355050 São Pedro do Turvo;-;1;87;146;234
355060 São Roque;-;2;246;272;520
355070 São Sebastião;1;5;2090;2705;4801
355080 São Sebastião da Grama;-;-;8;6;14
355090 São Simão;-;-;132;156;288
355100 São Vicente;-;3;302;405;710
355110 Sarapuí;-;-;11;30;41
355120 Sarutaiá;-;-;1;2;3
355130 Sebastianópolis do Sul;-;-;8;3;11
355140 Serra Azul;-;-;73;104;177
355160 Serra Negra;-;-;65;68;133
355150 Serrana;-;-;181;215;396
355170 Sertãozinho;-;-;433;529;962
355180 Sete Barras;-;-;3;4;7
355190 Severínia;-;-;78;102;180
355200 Silveiras;-;-;6;1;7
355210 Socorro;-;-;255;248;503
355220 Sorocaba;-;31;26450;30993;57474
355230 Sud Mennucci;-;-;132;180;312
355240 Sumaré;-;1;6515;7532;14048
355255 Suzanápolis;-;-;77;81;158
355250 Suzano;-;-;195;199;394
355260 Tabapuã;-;1;288;401;690
355270 Tabatinga;-;-;143;176;319
355280 Taboão da Serra;-;21;1230;1479;2730
355290 Taciba;-;-;1;6;7
355300 Taguaí;-;-;9;11;20
355310 Taiaçu;-;-;47;35;82
355320 Taiúva;-;-;26;37;63
355330 Tambaú;-;2;790;920;1712
355340 Tanabi;-;-;782;1004;1786
355350 Tapiraí;-;-;1;1;2
355360 Tapiratiba;-;1;126;131;258
355365 Taquaral;-;-;8;9;17
355370 Taquaritinga;-;-;234;267;501
355380 Taquarituba;-;-;20;25;45
355390 Tarabai;-;-;15;26;41
355395 Tarumã;-;-;132;175;307
355400 Tatuí;-;-;230;232;462
355410 Taubaté;-;-;1289;1245;2534
355430 Teodoro Sampaio;-;-;52;62;114
355440 Terra Roxa;-;-;51;58;109
355450 Tietê;-;-;101;159;260
355460 Timburi;-;-;1;-;1
355465 Torre de Pedra;-;-;-;1;1
355470 Torrinha;-;-;14;12;26
355475 Trabiju;-;-;68;73;141
355480 Tremembé;-;-;142;162;304
355490 Três Fronteiras;-;-;66;105;171
355495 Tuiuti;-;-;4;8;12
355500 Tupã;-;-;1045;1371;2416
355510 Tupi Paulista;-;-;304;383;687
355520 Turiúba;-;-;30;52;82
355530 Turmalina;-;-;15;25;40
355535 Ubarana;-;-;108;125;233
355540 Ubatuba;-;9;1124;1219;2352
355550 Ubirajara;-;-;53;79;132
355560 Uchoa;-;-;167;225;392
355570 União Paulista;-;-;1;2;3
355580 Urânia;-;-;343;481;824
355590 Uru;-;-;11;14;25
355600 Urupês;-;-;16;22;38
355610 Valentim Gentil;-;-;59;64;123
355620 Valinhos;-;7;540;576;1123
355630 Valparaíso;-;-;182;231;413
355635 Vargem;-;-;2;1;3
355640 Vargem Grande do Sul;-;-;366;397;763
355645 Vargem Grande Paulista;-;-;51;39;90
355650 Várzea Paulista;-;2;806;833;1641
355660 Vera Cruz;-;-;154;228;382
355670 Vinhedo;-;-;473;493;966
355680 Viradouro;-;-;74;116;190
355690 Vista Alegre do Alto;-;-;60;58;118
355695 Vitória Brasil;-;-;13;38;51
355700 Votorantim;-;-;705;890;1595
355710 Votuporanga;-;-;565;770;1335
355715 Zacarias;-;-;79;87;166
410010 Abatiá;-;-;1;1;2
410140 Apucarana;-;-;-;1;1
410210 Astorga;-;-;1;-;1
410240 Bandeirantes;-;-;2;1;3
410250 Barbosa Ferraz;-;-;1;-;1
410360 Cambará;-;-;1;-;1
410430 Campo Mourão;-;-;1;-;1
410470 Carlópolis;-;-;1;-;1
410480 Cascavel;-;-;1;1;2
410490 Castro;-;-;-;1;1
410510 Centenário do Sul;-;-;1;-;1
410550 Cianorte;-;-;-;1;1
410590 Colorado;-;-;1;-;1
410670 Cruzeiro do Sul;-;-;1;-;1
410690 Curitiba;-;-;8;2;10
410830 Foz do Iguaçu;-;-;1;2;3
410880 Guaíra;-;-;1;-;1
410960 Guaratuba;-;-;1;-;1
411100 Itambaracá;-;-;1;-;1
411110 Itambé;-;-;1;-;1
411170 Jaboti;-;-;1;-;1
411180 Jacarezinho;-;-;-;1;1
411200 Jaguariaíva;-;-;-;1;1
411270 Jataizinho;-;-;-;1;1
411350 Loanda;-;-;-;1;1
411370 Londrina;-;-;6;6;12
411470 Maria Helena;-;-;-;1;1
411480 Marialva;-;-;1;-;1
411520 Maringá;-;-;6;3;9
411690 Nova Esperança;-;-;-;1;1
411840 Paranavaí;-;-;-;1;1
412000 Porecatu;-;-;-;1;1
412060 Prudentópolis;-;-;1;-;1
412180 Ribeirão Claro;-;-;1;-;1
412240 Rolândia;-;-;-;2;2
412310 Santa Amélia;-;-;-;1;1
412390 Santa Mariana;-;-;1;-;1
412410 Santo Antônio da Platina;-;-;-;2;2
412490 São João do Caiuá;-;-;1;2;3
412590 São Pedro do Paraná;-;-;1;-;1
412660 Siqueira Campos;-;-;1;-;1
412710 Telêmaco Borba;-;-;1;-;1
412730 Terra Rica;-;-;1;1;2
412740 Terra Roxa;-;-;2;-;2
412810 Umuarama;-;-;-;1;1
420200 Balneário Camboriú;-;-;1;2;3
420209 Barra Bonita;-;-;-;1;1
420320 Camboriú;-;-;1;2;3
420460 Criciúma;-;-;-;1;1
420540 Florianópolis;-;-;5;3;8
420820 Itajaí;-;-;1;2;3
420910 Joinville;-;-;-;1;1
431020 Ijuí;-;-;1;-;1
500020 Água Clara;-;-;-;4;4
500070 Anastácio;-;-;-;1;1
500100 Aparecida do Taboado;-;-;2;4;6
500110 Aquidauana;-;-;2;-;2
500190 Bataguassu;-;-;5;1;6
500220 Bonito;-;-;2;1;3
500230 Brasilândia;-;-;5;4;9
500240 Caarapó;-;-;-;1;1
500270 Campo Grande;-;-;14;8;22
500290 Cassilândia;-;-;2;1;3
500295 Chapadão do Sul;-;-;2;-;2
500320 Corumbá;-;-;1;-;1
500325 Costa Rica;-;-;1;2;3
500330 Coxim;-;-;-;1;1
500370 Dourados;-;-;5;5;10
500400 Glória de Dourados;-;-;1;1;2
500440 Inocência;-;-;1;-;1
500460 Itaquiraí;-;-;2;1;3
500500 Jardim;-;-;1;-;1
500540 Maracaju;-;-;2;-;2
500570 Naviraí;-;-;1;-;1
500600 Nova Alvorada do Sul;-;-;-;2;2
500620 Nova Andradina;-;-;1;1;2
500630 Paranaíba;-;-;1;-;1
500660 Ponta Porã;-;-;3;-;3
500690 Porto Murtinho;-;-;-;1;1
500710 Ribas do Rio Pardo;-;-;3;-;3
500755 Santa Rita do Pardo;-;-;-;1;1
500780 Selvíria;-;-;2;-;2
500770 Sete Quedas;-;-;-;1;1
500830 Três Lagoas;-;-;12;8;20
510190 Brasnorte;-;-;1;-;1
510260 Campinápolis;-;-;1;-;1
510340 Cuiabá;-;-;8;2;10
510480 Jaciara;-;-;1;-;1
510562 Mirassol d'Oeste;-;-;-;1;1
510625 Nova Xavantina;-;-;-;1;1
510637 Pedra Preta;-;-;2;-;2
510682 Porto Esperidião;-;-;1;-;1
510706 Querência;-;-;-;1;1
510760 Rondonópolis;-;-;2;-;2
510777 Santa Terezinha;-;-;1;-;1
510790 Sinop;-;-;-;1;1
520110 Anápolis;-;-;1;1;2
520350 Bom Jesus de Goiás;-;-;1;-;1
520450 Caldas Novas;-;-;6;9;15
520510 Catalão;-;-;1;-;1
520547 Chapadão do Céu;-;-;1;-;1
520725 Doverlândia;-;-;1;-;1
520800 Formosa;-;-;1;-;1
520860 Goianésia;-;-;-;2;2
520870 Goiânia;-;-;19;8;27
520890 Goiás;-;-;3;1;4
521150 Itumbiara;-;-;-;1;1
521190 Jataí;-;-;1;-;1
521380 Morrinhos;-;-;1;-;1
521405 Mundo Novo;-;-;-;1;1
521570 Palmeiras de Goiás;-;-;-;1;1
521630 Paranaiguara;-;-;-;1;1
521730 Pirenópolis;-;-;2;-;2
521810 Portelândia;-;-;1;-;1
521850 Quirinópolis;-;-;-;2;2
521880 Rio Verde;-;-;1;-;1
521890 Rubiataba;-;-;-;1;1
521971 Santo Antônio da Barra;-;-;1;-;1
522045 Senador Canedo;-;-;1;-;1
522140 Trindade;-;-;2;3;5
522205 Vicentinópolis;-;-;1;-;1
530010 Brasília;-;-;2;4;6
000000 Ignorado ou exterior;18;652;42135;46843;89648
000000 Total;52;2477;344756;402675;749960
