DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;
Casos Prováveis por Município infecção e Raça;;;;;;;
Período:2016;;;;;;;
Município infecção;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena;Total
352620 Juquitiba;2;-;-;-;-;-;2
352630 Lagoinha;1;1;-;-;-;-;2
352640 Laranjal Paulista;-;12;-;-;2;-;14
352650 Lavínia;-;14;2;-;10;-;26
352660 Lavrinhas;-;2;-;-;-;-;2
352670 Leme;1;34;-;-;3;-;38
352680 Lençóis Paulista;-;25;1;1;5;-;32
352690 Limeira;15;77;8;-;14;-;114
352700 Lindóia;1;2;-;-;-;-;3
352710 Lins;1;56;10;1;8;-;76
352720 Lorena;11;57;4;1;6;-;79
352725 Lourdes;-;5;1;-;1;-;7
352730 Louveira;7;16;-;-;3;-;26
352740 Lucélia;3;31;-;-;9;-;43
352750 Lucianópolis;1;-;-;-;1;-;2
352760 Luís Antônio;49;25;1;-;7;-;82
352770 Luiziânia;2;7;2;-;4;-;15
352790 Lutécia;-;7;-;-;2;-;9
352810 Macaubal;1;26;1;-;2;-;30
352820 Macedônia;-;37;-;-;1;-;38
352830 Magda;-;8;-;-;2;-;10
352840 Mairinque;3;3;-;-;3;-;9
352850 Mairiporã;1;7;1;1;6;-;16
352860 Manduri;-;6;-;-;-;-;6
352870 Marabá Paulista;-;6;1;-;1;-;8
352885 Marapoama;-;1;-;-;-;-;1
352890 Mariápolis;-;1;-;-;1;-;2
352900 Marília;30;125;11;4;62;-;232
352910 Marinópolis;-;3;-;-;-;-;3
352920 Martinópolis;1;164;9;3;40;-;217
352930 Matão;30;1897;47;6;207;2;2189
352940 Mauá;44;125;27;-;70;-;266
352950 Mendonça;3;86;2;-;12;-;103
352960 Meridiano;-;2;-;-;1;-;3
352965 Mesópolis;-;2;-;-;-;-;2
352970 Miguelópolis;10;68;2;-;3;-;83
352980 Mineiros do Tietê;-;2;-;-;1;-;3
353000 Mira Estrela;-;2;-;-;-;-;2
352990 Miracatu;1;3;-;-;3;-;7
353010 Mirandópolis;44;278;10;4;101;-;437
353020 Mirante do Paranapanema;29;678;18;10;67;-;802
353030 Mirassol;4;111;4;-;11;-;130
353040 Mirassolândia;-;24;1;-;4;-;29
353050 Mococa;14;211;10;1;29;-;265
353060 Mogi das Cruzes;11;147;8;18;32;-;216
353070 Mogi Guaçu;56;46;2;-;4;-;108
353080 Mogi Mirim;9;80;4;-;8;-;101
353100 Monções;1;40;-;-;2;-;43
353110 Mongaguá;1;13;2;-;6;-;22
353130 Monte Alto;1;33;-;-;2;-;36
353140 Monte Aprazível;11;108;3;1;9;-;132
353150 Monte Azul Paulista;1;408;16;2;134;-;561
353160 Monte Castelo;-;3;-;-;-;-;3
353180 Monte Mor;9;11;4;-;12;-;36
353190 Morro Agudo;1;38;6;-;29;-;74
353200 Morungaba;1;1;-;-;-;-;2
353205 Motuca;-;1;-;-;1;-;2
353210 Murutinga do Sul;1;62;1;1;4;-;69
353215 Nantes;1;6;1;-;-;-;8
353220 Narandiba;-;15;-;1;9;-;25
353230 Natividade da Serra;-;1;-;-;-;-;1
353240 Nazaré Paulista;-;1;-;-;-;-;1
353250 Neves Paulista;38;32;-;-;2;-;72
353260 Nhandeara;1;25;1;-;-;-;27
353270 Nipoã;-;6;-;-;2;-;8
353280 Nova Aliança;-;84;2;-;3;-;89
353284 Nova Canaã Paulista;-;3;-;-;1;-;4
353290 Nova Europa;1;4;-;-;-;-;5
353300 Nova Granada;3;58;-;-;5;-;66
353320 Nova Independência;2;16;-;-;12;-;30
353330 Nova Luzitânia;-;1;-;-;-;-;1
353340 Nova Odessa;16;30;5;-;6;-;57
353325 Novais;-;1;-;-;-;-;1
353350 Novo Horizonte;-;45;-;-;3;-;48
353360 Nuporanga;1;7;-;-;2;-;10
353390 Olímpia;9;141;9;-;14;-;173
353400 Onda Verde;-;8;2;-;1;-;11
353410 Oriente;1;8;-;-;4;-;13
353420 Orindiúva;-;3;-;-;2;-;5
353430 Orlândia;39;434;45;-;84;-;602
353440 Osasco;385;243;19;14;77;-;738
353460 Osvaldo Cruz;1;153;14;7;37;-;212
353470 Ourinhos;9;75;3;-;16;-;103
353480 Ouro Verde;-;7;-;-;-;-;7
353475 Ouroeste;3;79;2;-;10;-;94
353490 Pacaembu;-;30;-;3;19;-;52
353500 Palestina;9;37;4;-;3;-;53
353510 Palmares Paulista;-;7;-;-;3;-;10
353520 Palmeira d'Oeste;1;16;1;-;3;-;21
353530 Palmital;1;5;1;-;2;-;9
353540 Panorama;3;38;1;-;12;-;54
353550 Paraguaçu Paulista;6;19;2;-;5;-;32
353560 Paraibuna;1;3;-;-;1;-;5
353570 Paraíso;-;1;1;-;2;-;4
353580 Paranapanema;-;2;-;-;-;-;2
353590 Paranapuã;1;21;2;-;8;-;32
353600 Parapuã;-;17;-;-;3;-;20
353620 Pariquera-Açu;-;15;3;-;4;-;22
353625 Parisi;-;18;-;-;3;-;21
353640 Paulicéia;1;7;1;-;3;-;12
353650 Paulínia;30;15;4;-;4;-;53
353660 Paulo de Faria;1;24;7;1;10;-;43
353670 Pederneiras;7;116;3;-;10;-;136
353680 Pedra Bela;-;2;-;-;-;-;2
353690 Pedranópolis;-;1;-;-;-;-;1
353700 Pedregulho;1;4;1;-;-;-;6
353710 Pedreira;3;6;-;-;3;-;12
353720 Pedro de Toledo;-;1;-;-;1;-;2
353730 Penápolis;5;108;4;-;14;-;131
353740 Pereira Barreto;1;96;8;7;87;-;199
353760 Peruíbe;11;65;1;-;38;1;116
353770 Piacatu;1;10;-;-;5;-;16
353790 Pilar do Sul;-;-;-;-;1;-;1
353800 Pindamonhangaba;78;273;11;1;50;-;413
353810 Pindorama;3;2;-;-;-;-;5
353820 Pinhalzinho;-;-;-;-;1;-;1
353830 Piquerobi;-;6;-;-;2;1;9
353850 Piquete;-;1;-;-;-;-;1
353860 Piracaia;1;2;-;-;-;-;3
353870 Piracicaba;1058;910;72;11;188;2;2241
353880 Piraju;-;7;-;-;-;-;7
353890 Pirajuí;1;63;3;-;8;-;75
353900 Pirangi;6;63;-;-;5;-;74
353910 Pirapora do Bom Jesus;1;2;-;-;-;-;3
353920 Pirapozinho;4;82;9;3;29;-;127
353930 Pirassununga;16;65;3;-;8;-;92
353940 Piratininga;-;24;1;-;6;-;31
353950 Pitangueiras;41;304;21;6;66;-;438
353960 Planalto;2;40;-;-;15;-;57
353970 Platina;-;1;-;-;-;-;1
353980 Poá;-;34;-;-;11;-;45
353990 Poloni;2;20;1;-;3;-;26
354000 Pompéia;1;2;-;-;-;-;3
354020 Pontal;264;319;30;2;301;1;917
354025 Pontalinda;1;2;-;-;3;-;6
354030 Pontes Gestal;-;21;2;-;2;-;25
354040 Populina;4;34;-;-;5;-;43
354050 Porangaba;-;1;-;-;-;-;1
354060 Porto Feliz;2;41;2;-;11;-;56
354070 Porto Ferreira;214;4;1;-;-;-;219
354075 Potim;2;9;-;-;1;-;12
354080 Potirendaba;2;129;2;1;13;-;147
354090 Pradópolis;7;53;2;-;4;-;66
354100 Praia Grande;17;39;3;-;20;-;79
354110 Presidente Alves;1;2;-;-;-;-;3
354120 Presidente Bernardes;1;39;1;1;6;-;48
354130 Presidente Epitácio;49;430;52;5;227;1;764
354140 Presidente Prudente;473;8930;483;221;2488;9;12604
354150 Presidente Venceslau;1;167;-;2;10;-;180
354160 Promissão;-;24;-;-;-;-;24
354170 Quatá;13;44;5;-;14;-;76
354190 Queluz;6;21;4;1;11;-;43
354200 Quintana;1;3;-;-;-;-;4
354210 Rafard;14;101;4;-;5;-;124
354220 Rancharia;3;216;14;3;112;-;348
354230 Redenção da Serra;-;1;-;-;-;-;1
354240 Regente Feijó;7;182;16;-;64;-;269
354250 Reginópolis;-;1;-;-;1;-;2
354260 Registro;33;143;8;6;31;-;221
354270 Restinga;-;-;-;-;1;-;1
354290 Ribeirão Bonito;2;5;-;-;1;-;8
354310 Ribeirão Corrente;-;1;-;-;-;-;1
354323 Ribeirão dos Índios;-;4;-;-;-;-;4
354330 Ribeirão Pires;1;1;-;-;5;-;7
354340 Ribeirão Preto;13549;3724;429;28;1117;7;18854
354360 Rifaina;1;10;-;-;9;-;20
354370 Rincão;1;-;-;-;-;-;1
354380 Rinópolis;1;13;1;-;1;-;16
354390 Rio Claro;13;78;2;-;9;-;102
354400 Rio das Pedras;7;50;1;1;5;-;64
354420 Riolândia;-;12;1;-;4;-;17
354425 Rosana;1;11;4;1;12;-;29
354430 Roseira;1;1;-;-;-;-;2
354440 Rubiácea;1;3;-;-;1;-;5
354450 Rubinéia;-;9;-;-;2;-;11
354460 Sabino;-;1;-;-;-;-;1
354470 Sagres;-;4;-;-;-;-;4
354480 Sales;-;10;1;-;1;-;12
354490 Sales Oliveira;1;6;-;-;-;-;7
354500 Salesópolis;-;5;-;-;-;-;5
354510 Salmourão;-;-;-;-;2;-;2
354515 Saltinho;3;36;-;-;3;-;42
354520 Salto;76;135;8;2;32;-;253
354530 Salto de Pirapora;2;38;2;-;3;-;45
354550 Sandovalina;2;35;3;-;21;-;61
354560 Santa Adélia;1;2;-;-;-;-;3
354570 Santa Albertina;2;2;-;-;-;-;4
354580 Santa Bárbara d'Oeste;167;99;4;-;20;-;290
354600 Santa Branca;-;7;-;-;1;-;8
354610 Santa Clara d'Oeste;-;27;1;-;9;-;37
354625 Santa Cruz da Esperança;-;1;-;-;-;-;1
354630 Santa Cruz das Palmeiras;1;24;1;-;10;-;36
354640 Santa Cruz do Rio Pardo;-;5;-;-;-;-;5
354650 Santa Ernestina;30;19;1;-;4;-;54
354660 Santa Fé do Sul;24;598;26;8;106;-;762
354670 Santa Gertrudes;-;1;-;-;-;-;1
354680 Santa Isabel;11;49;1;-;14;-;75
354690 Santa Lúcia;-;12;3;-;2;-;17
354700 Santa Maria da Serra;-;6;-;-;-;-;6
354710 Santa Mercedes;-;4;1;2;1;-;8
354740 Santa Rita d'Oeste;-;4;-;-;-;-;4
354750 Santa Rita do Passa Quatro;6;63;5;-;1;-;75
354760 Santa Rosa de Viterbo;5;8;-;-;4;-;17
354765 Santa Salete;-;3;-;-;-;-;3
354730 Santana de Parnaíba;38;34;9;-;35;1;117
354770 Santo Anastácio;57;496;15;9;169;-;746
354780 Santo André;163;134;9;2;46;-;354
354790 Santo Antônio da Alegria;22;41;-;-;4;-;67
354800 Santo Antônio de Posse;2;145;-;-;-;-;147
354805 Santo Antônio do Aracanguá;1;4;2;-;2;-;9
354810 Santo Antônio do Jardim;-;7;-;-;-;-;7
354820 Santo Antônio do Pinhal;-;1;-;-;-;-;1
354830 Santo Expedito;2;1;-;-;3;-;6
354840 Santópolis do Aguapeí;-;4;-;-;-;-;4
354850 Santos;590;383;51;8;198;9;1239
354860 São Bento do Sapucaí;-;2;-;-;-;-;2
354870 São Bernardo do Campo;224;424;47;4;209;-;908
354880 São Caetano do Sul;5;46;1;-;7;-;59
354890 São Carlos;88;171;13;1;25;1;299
354900 São Francisco;-;2;-;-;-;-;2
354910 São João da Boa Vista;5;62;4;-;4;-;75
354920 São João das Duas Pontes;1;8;-;-;1;-;10
354925 São João de Iracema;-;2;-;-;-;-;2
354930 São João do Pau d'Alho;5;31;-;-;2;-;38
354940 São Joaquim da Barra;62;456;37;1;131;1;688
354950 São José da Bela Vista;13;3;-;-;-;-;16
354970 São José do Rio Pardo;-;40;1;-;5;-;46
354980 São José do Rio Preto;736;11771;435;76;1934;12;14964
354990 São José dos Campos;726;771;28;8;122;1;1656
354995 São Lourenço da Serra;-;1;-;-;-;-;1
355000 São Luís do Paraitinga;-;2;-;-;-;-;2
355010 São Manuel;3;48;-;1;2;-;54
355020 São Miguel Arcanjo;1;6;-;2;-;-;9
355030 São Paulo;3861;6158;913;149;3751;61;14893
355040 São Pedro;1;4;-;-;3;-;8
355050 São Pedro do Turvo;20;46;1;-;12;-;79
355060 São Roque;42;19;-;1;7;-;69
355070 São Sebastião;33;10;1;-;1;-;45
355080 São Sebastião da Grama;-;1;-;-;-;-;1
355090 São Simão;263;125;5;-;18;-;411
355100 São Vicente;25;19;1;-;11;-;56
355130 Sebastianópolis do Sul;1;2;-;-;1;-;4
355140 Serra Azul;27;12;-;-;-;-;39
355160 Serra Negra;6;5;2;1;4;-;18
355150 Serrana;112;236;27;-;107;-;482
355170 Sertãozinho;882;1419;163;40;568;3;3075
355180 Sete Barras;-;3;-;-;-;-;3
355190 Severínia;1;46;-;-;2;-;49
355210 Socorro;1;6;-;-;1;-;8
355220 Sorocaba;70;216;10;6;32;-;334
355230 Sud Mennucci;1;16;1;-;7;-;25
355240 Sumaré;96;210;31;1;123;1;462
355255 Suzanápolis;2;10;1;-;5;-;18
355250 Suzano;31;216;29;4;68;-;348
355260 Tabapuã;-;6;2;-;-;-;8
355270 Tabatinga;6;160;6;-;92;-;264
355280 Taboão da Serra;13;13;2;-;8;-;36
355290 Taciba;-;1;-;-;-;-;1
355300 Taguaí;-;4;1;-;-;-;5
355310 Taiaçu;2;14;-;-;5;-;21
355320 Taiúva;1;115;5;-;9;-;130
355330 Tambaú;-;28;2;1;5;-;36
355340 Tanabi;1;77;2;-;10;-;90
355350 Tapiraí;-;-;-;1;-;-;1
355360 Tapiratiba;-;1;-;-;-;-;1
355365 Taquaral;-;1;-;-;1;-;2
355370 Taquaritinga;11;1319;63;3;204;-;1600
355380 Taquarituba;-;1;-;-;-;-;1
355390 Tarabai;-;-;1;-;3;-;4
355400 Tatuí;5;85;5;-;10;-;105
355410 Taubaté;147;2703;112;6;288;1;3257
355430 Teodoro Sampaio;41;104;4;1;39;-;189
355440 Terra Roxa;-;8;-;-;-;-;8
355450 Tietê;27;32;-;-;5;-;64
355465 Torre de Pedra;-;-;1;-;-;-;1
355470 Torrinha;-;3;-;-;-;-;3
355480 Tremembé;39;506;8;3;34;-;590
355490 Três Fronteiras;7;26;-;-;2;-;35
355495 Tuiuti;-;2;1;-;-;-;3
355500 Tupã;29;54;5;1;16;-;105
355510 Tupi Paulista;-;3;-;-;-;-;3
355520 Turiúba;-;19;1;-;-;-;20
355530 Turmalina;4;13;-;-;-;-;17
355535 Ubarana;68;26;-;-;5;-;99
355540 Ubatuba;24;37;3;-;8;-;72
355560 Uchoa;2;126;7;-;32;-;167
355570 União Paulista;-;6;-;-;1;-;7
355580 Urânia;5;79;1;2;5;-;92
355590 Uru;1;2;-;-;-;-;3
355600 Urupês;1;5;-;-;-;-;6
355610 Valentim Gentil;1;20;-;-;1;-;22
355620 Valinhos;4;11;1;-;2;-;18
355630 Valparaíso;2;14;-;-;12;-;28
355640 Vargem Grande do Sul;5;110;-;-;5;1;121
355645 Vargem Grande Paulista;3;3;-;-;2;-;8
355650 Várzea Paulista;10;11;1;-;4;-;26
355660 Vera Cruz;1;4;-;-;5;-;10
355670 Vinhedo;14;27;-;-;1;-;42
355680 Viradouro;-;63;1;1;4;-;69
355690 Vista Alegre do Alto;-;9;-;-;3;-;12
355695 Vitória Brasil;-;13;-;-;2;-;15
355700 Votorantim;2;32;2;-;2;-;38
355710 Votuporanga;3;744;14;1;82;-;844
410080 Alvorada do Sul;-;-;-;-;1;-;1
410150 Arapongas;-;-;-;1;-;-;1
410190 Assaí;-;3;-;-;1;-;4
410240 Bandeirantes;-;1;-;-;-;-;1
410360 Cambará;1;1;-;-;-;-;2
410370 Cambé;1;-;-;-;-;-;1
410480 Cascavel;1;-;-;-;2;-;3
410510 Centenário do Sul;2;-;-;-;-;-;2
410550 Cianorte;-;1;-;-;-;-;1
410590 Colorado;-;1;-;-;-;-;1
410640 Cornélio Procópio;-;1;-;-;-;-;1
410660 Cruzeiro do Oeste;1;-;-;-;-;-;1
410690 Curitiba;1;6;-;-;1;-;8
410830 Foz do Iguaçu;3;4;-;-;-;-;7
410920 Guaraci;-;1;-;-;-;-;1
410960 Guaratuba;-;1;-;-;-;-;1
410980 Ibiporã;-;2;-;-;-;-;2
411130 Itaúna do Sul;-;1;-;-;-;-;1
411370 Londrina;1;8;-;-;1;-;10
411520 Maringá;3;7;1;-;-;-;11
411690 Nova Esperança;-;-;-;-;1;-;1
411820 Paranaguá;-;4;-;-;-;-;4
411840 Paranavaí;-;1;-;-;-;-;1
411990 Ponta Grossa;-;1;-;-;-;-;1
412000 Porecatu;1;-;-;-;-;-;1
412180 Ribeirão Claro;-;1;-;-;-;-;1
412310 Santa Amélia;-;1;-;-;-;-;1
412390 Santa Mariana;-;2;-;-;1;-;3
412405 Santa Terezinha de Itaipu;-;1;-;-;-;-;1
412550 São José dos Pinhais;1;-;-;-;-;-;1
420200 Balneário Camboriú;-;1;-;-;-;-;1
420240 Blumenau;-;1;-;-;-;-;1
420320 Camboriú;-;1;-;-;-;-;1
420540 Florianópolis;-;-;-;-;1;-;1
420830 Itapema;-;1;-;-;-;-;1
421130 Navegantes;1;-;-;-;-;-;1
421350 Porto Belo;-;1;-;-;-;-;1
421380 Praia Grande;-;1;-;-;-;-;1
430350 Camaquã;-;1;-;-;-;-;1
431225 Minas do Leão;-;1;-;-;-;-;1
431490 Porto Alegre;-;1;-;-;-;-;1
431930 São Paulo das Missões;3;2;3;-;5;-;13
500020 Água Clara;-;1;-;-;-;-;1
500085 Angélica;-;1;-;-;-;-;1
500100 Aparecida do Taboado;1;3;1;-;2;-;7
500150 Bandeirantes;-;1;-;-;-;-;1
500190 Bataguassu;-;1;-;-;1;-;2
500220 Bonito;-;9;-;-;-;-;9
500230 Brasilândia;-;1;-;-;-;-;1
500240 Caarapó;-;1;-;-;-;-;1
500270 Campo Grande;8;21;-;-;6;-;35
500280 Caracol;-;-;-;-;1;-;1
500290 Cassilândia;-;2;-;-;1;-;3
500295 Chapadão do Sul;1;-;-;-;-;-;1
500320 Corumbá;-;2;-;-;1;-;3
500330 Coxim;-;2;-;-;1;-;3
500345 Deodápolis;-;1;-;-;-;-;1
500348 Dois Irmãos do Buriti;-;4;-;-;2;-;6
500370 Dourados;-;5;-;-;2;-;7
500410 Guia Lopes da Laguna;-;-;-;-;1;-;1
500500 Jardim;-;1;-;-;-;-;1
500600 Nova Alvorada do Sul;-;-;-;-;1;-;1
500620 Nova Andradina;-;1;-;-;-;-;1
500630 Paranaíba;1;3;-;1;1;-;6
500660 Ponta Porã;-;4;-;-;2;-;6
500710 Ribas do Rio Pardo;1;2;-;-;1;-;4
500720 Rio Brilhante;1;2;-;-;-;-;3
500755 Santa Rita do Pardo;-;1;-;-;-;-;1
500769 São Gabriel do Oeste;-;-;-;-;1;-;1
500830 Três Lagoas;-;12;1;-;3;-;16
510025 Alta Floresta;-;2;-;-;-;-;2
510030 Alto Araguaia;-;1;-;-;-;-;1
510060 Alto Taquari;-;2;-;-;-;-;2
510180 Barra do Garças;-;1;-;-;-;-;1
510190 Brasnorte;1;-;-;-;-;-;1
510250 Cáceres;1;-;-;-;-;-;1
510300 Chapada dos Guimarães;-;1;1;-;-;-;2
510340 Cuiabá;2;15;2;-;1;-;20
510460 Itiquira;1;-;-;-;-;-;1
510480 Jaciara;-;1;-;-;-;-;1
510520 Juscimeira;-;1;-;-;-;-;1
510558 Marcelândia;-;1;-;-;-;-;1
510615 Nova Bandeirantes;-;1;-;-;-;-;1
510890 Nova Maringá;-;1;-;-;-;-;1
510675 Pontes e Lacerda;-;1;-;-;-;-;1
510760 Rondonópolis;-;4;-;-;-;-;4
510710 São José dos Quatro Marcos;-;1;-;-;-;-;1
510790 Sinop;-;2;-;-;1;-;3
510792 Sorriso;-;-;-;-;1;-;1
510795 Tangará da Serra;-;-;-;-;1;-;1
510840 Várzea Grande;1;-;-;-;-;-;1
510000 Município ignorado - MT;-;-;-;-;1;-;1
520060 Alto Paraíso de Goiás;1;-;-;-;-;-;1
520110 Anápolis;1;1;-;-;-;-;2
520140 Aparecida de Goiânia;-;2;-;-;-;-;2
520450 Caldas Novas;1;5;-;-;1;-;7
520640 Crixás;1;-;-;-;-;-;1
520870 Goiânia;2;10;-;-;-;-;12
520890 Goiás;-;3;-;-;-;-;3
521225 Lagoa Santa;-;3;-;-;1;-;4
521880 Rio Verde;-;1;-;-;-;-;1
521930 Santa Helena de Goiás;-;1;-;-;-;-;1
522028 São Patrício;-;4;-;-;2;-;6
522140 Trindade;1;1;-;-;-;-;2
530010 Brasília;1;5;-;-;2;-;8
000000 Ignorado ou exterior;25935;16897;1248;172;4899;52;49203
000000 Total;68936;99185;6407;1151;26695;211;202585
