DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;
Casos Prováveis por Município infecção e Sexo;;;;;
Período:2016;;;;;
Município infecção;Em Branco;Ignorado;Masculino;Feminino;Total
353800 Pindamonhangaba;-;-;192;221;413
353810 Pindorama;-;-;3;2;5
353820 Pinhalzinho;-;-;1;-;1
353830 Piquerobi;-;-;5;4;9
353850 Piquete;-;-;-;1;1
353860 Piracaia;-;-;2;1;3
353870 Piracicaba;-;-;986;1255;2241
353880 Piraju;-;-;5;2;7
353890 Pirajuí;-;-;32;43;75
353900 Pirangi;-;-;32;42;74
353910 Pirapora do Bom Jesus;-;-;2;1;3
353920 Pirapozinho;-;-;62;65;127
353930 Pirassununga;-;-;39;53;92
353940 Piratininga;-;-;15;16;31
353950 Pitangueiras;-;-;199;239;438
353960 Planalto;-;-;26;31;57
353970 Platina;-;-;1;-;1
353980 Poá;-;-;26;19;45
353990 Poloni;-;-;16;10;26
354000 Pompéia;-;-;1;2;3
354020 Pontal;-;-;413;504;917
354025 Pontalinda;-;-;1;5;6
354030 Pontes Gestal;-;-;9;16;25
354040 Populina;-;-;19;24;43
354050 Porangaba;-;-;1;-;1
354060 Porto Feliz;-;-;23;33;56
354070 Porto Ferreira;-;-;103;116;219
354075 Potim;-;-;9;3;12
354080 Potirendaba;-;-;61;86;147
354090 Pradópolis;-;-;35;31;66
354100 Praia Grande;-;-;37;42;79
354110 Presidente Alves;-;-;-;3;3
354120 Presidente Bernardes;-;-;22;26;48
354130 Presidente Epitácio;-;-;348;416;764
354140 Presidente Prudente;-;1;5668;6935;12604
354150 Presidente Venceslau;-;-;82;98;180
354160 Promissão;-;-;11;13;24
354170 Quatá;-;-;41;35;76
354190 Queluz;-;-;27;16;43
354200 Quintana;-;-;2;2;4
354210 Rafard;-;-;53;71;124
354220 Rancharia;-;-;161;187;348
354230 Redenção da Serra;-;-;1;-;1
354240 Regente Feijó;-;-;138;131;269
354250 Reginópolis;-;-;-;2;2
354260 Registro;-;-;104;117;221
354270 Restinga;-;-;-;1;1
354290 Ribeirão Bonito;-;-;3;5;8
354310 Ribeirão Corrente;-;-;1;-;1
354323 Ribeirão dos Índios;-;-;2;2;4
354330 Ribeirão Pires;-;-;2;5;7
354340 Ribeirão Preto;-;8;8357;10489;18854
354360 Rifaina;-;-;10;10;20
354370 Rincão;-;-;1;-;1
354380 Rinópolis;-;-;8;8;16
354390 Rio Claro;-;-;49;53;102
354400 Rio das Pedras;-;-;21;43;64
354420 Riolândia;-;-;11;6;17
354425 Rosana;-;-;16;13;29
354430 Roseira;-;-;-;2;2
354440 Rubiácea;-;-;3;2;5
354450 Rubinéia;-;-;5;6;11
354460 Sabino;-;-;1;-;1
354470 Sagres;-;-;1;3;4
354480 Sales;-;-;4;8;12
354490 Sales Oliveira;-;-;5;2;7
354500 Salesópolis;-;-;3;2;5
354510 Salmourão;-;-;1;1;2
354515 Saltinho;-;-;21;21;42
354520 Salto;-;-;112;141;253
354530 Salto de Pirapora;-;-;19;26;45
354550 Sandovalina;-;-;33;28;61
354560 Santa Adélia;-;-;-;3;3
354570 Santa Albertina;-;-;1;3;4
354580 Santa Bárbara d'Oeste;-;-;136;154;290
354600 Santa Branca;-;-;5;3;8
354610 Santa Clara d'Oeste;-;-;15;22;37
354625 Santa Cruz da Esperança;-;-;1;-;1
354630 Santa Cruz das Palmeiras;-;-;20;16;36
354640 Santa Cruz do Rio Pardo;-;-;3;2;5
354650 Santa Ernestina;-;1;30;23;54
354660 Santa Fé do Sul;-;1;320;441;762
354670 Santa Gertrudes;-;-;1;-;1
354680 Santa Isabel;-;-;34;41;75
354690 Santa Lúcia;-;-;5;12;17
354700 Santa Maria da Serra;-;-;2;4;6
354710 Santa Mercedes;-;-;7;1;8
354740 Santa Rita d'Oeste;-;-;3;1;4
354750 Santa Rita do Passa Quatro;-;-;31;44;75
354760 Santa Rosa de Viterbo;-;-;11;6;17
354765 Santa Salete;-;-;2;1;3
354730 Santana de Parnaíba;-;-;51;66;117
354770 Santo Anastácio;-;-;314;432;746
354780 Santo André;-;2;157;195;354
354790 Santo Antônio da Alegria;-;-;29;38;67
354800 Santo Antônio de Posse;-;-;72;75;147
354805 Santo Antônio do Aracanguá;-;-;2;7;9
354810 Santo Antônio do Jardim;-;-;4;3;7
354820 Santo Antônio do Pinhal;-;-;-;1;1
354830 Santo Expedito;-;-;3;3;6
354840 Santópolis do Aguapeí;-;-;2;2;4
354850 Santos;-;3;541;695;1239
354860 São Bento do Sapucaí;-;-;2;-;2
354870 São Bernardo do Campo;-;-;439;469;908
354880 São Caetano do Sul;-;-;24;35;59
354890 São Carlos;-;-;140;159;299
354900 São Francisco;-;-;1;1;2
354910 São João da Boa Vista;-;-;29;46;75
354920 São João das Duas Pontes;-;-;6;4;10
354925 São João de Iracema;-;-;1;1;2
354930 São João do Pau d'Alho;-;-;16;22;38
354940 São Joaquim da Barra;-;-;254;434;688
354950 São José da Bela Vista;-;-;8;8;16
354970 São José do Rio Pardo;-;-;23;23;46
354980 São José do Rio Preto;-;2;6429;8533;14964
354990 São José dos Campos;-;1;838;817;1656
354995 São Lourenço da Serra;-;-;1;-;1
355000 São Luís do Paraitinga;-;-;1;1;2
355010 São Manuel;-;-;21;33;54
355020 São Miguel Arcanjo;-;-;4;5;9
355030 São Paulo;-;4;7214;7675;14893
355040 São Pedro;-;-;5;3;8
355050 São Pedro do Turvo;-;-;34;45;79
355060 São Roque;-;1;29;39;69
355070 São Sebastião;-;-;17;28;45
355080 São Sebastião da Grama;-;-;-;1;1
355090 São Simão;-;-;188;223;411
355100 São Vicente;-;-;20;36;56
355130 Sebastianópolis do Sul;-;-;-;4;4
355140 Serra Azul;-;-;17;22;39
355160 Serra Negra;-;-;10;8;18
355150 Serrana;-;-;183;299;482
355170 Sertãozinho;-;-;1383;1692;3075
355180 Sete Barras;-;-;2;1;3
355190 Severínia;-;-;23;26;49
355210 Socorro;-;-;3;5;8
355220 Sorocaba;-;-;164;170;334
355230 Sud Mennucci;-;-;9;16;25
355240 Sumaré;-;-;201;261;462
355255 Suzanápolis;-;-;8;10;18
355250 Suzano;-;-;175;173;348
355260 Tabapuã;-;-;3;5;8
355270 Tabatinga;-;-;109;155;264
355280 Taboão da Serra;-;-;15;21;36
355290 Taciba;-;-;-;1;1
355300 Taguaí;-;-;4;1;5
355310 Taiaçu;-;-;10;11;21
355320 Taiúva;-;-;56;74;130
355330 Tambaú;-;-;17;19;36
355340 Tanabi;-;-;39;51;90
355350 Tapiraí;-;-;1;-;1
355360 Tapiratiba;-;-;-;1;1
355365 Taquaral;-;-;2;-;2
355370 Taquaritinga;-;-;676;924;1600
355380 Taquarituba;-;-;1;-;1
355390 Tarabai;-;-;3;1;4
355400 Tatuí;-;-;44;61;105
355410 Taubaté;-;-;1624;1633;3257
355430 Teodoro Sampaio;-;-;78;111;189
355440 Terra Roxa;-;-;4;4;8
355450 Tietê;-;-;28;36;64
355465 Torre de Pedra;-;-;1;-;1
355470 Torrinha;-;-;-;3;3
355480 Tremembé;-;-;272;318;590
355490 Três Fronteiras;-;-;13;22;35
355495 Tuiuti;-;-;1;2;3
355500 Tupã;-;-;49;56;105
355510 Tupi Paulista;-;-;2;1;3
355520 Turiúba;-;-;8;12;20
355530 Turmalina;-;-;7;10;17
355535 Ubarana;-;-;47;52;99
355540 Ubatuba;-;-;29;43;72
355560 Uchoa;-;-;64;103;167
355570 União Paulista;-;-;2;5;7
355580 Urânia;-;-;37;55;92
355590 Uru;-;-;-;3;3
355600 Urupês;-;-;2;4;6
355610 Valentim Gentil;-;-;16;6;22
355620 Valinhos;-;-;5;13;18
355630 Valparaíso;-;-;11;17;28
355640 Vargem Grande do Sul;-;-;54;67;121
355645 Vargem Grande Paulista;-;-;4;4;8
355650 Várzea Paulista;-;-;13;13;26
355660 Vera Cruz;-;-;5;5;10
355670 Vinhedo;-;-;21;21;42
355680 Viradouro;-;-;25;44;69
355690 Vista Alegre do Alto;-;-;6;6;12
355695 Vitória Brasil;-;-;10;5;15
355700 Votorantim;-;-;14;24;38
355710 Votuporanga;-;-;375;469;844
410080 Alvorada do Sul;-;-;-;1;1
410150 Arapongas;-;-;1;-;1
410190 Assaí;-;-;1;3;4
410240 Bandeirantes;-;-;-;1;1
410360 Cambará;-;-;-;2;2
410370 Cambé;-;-;1;-;1
410480 Cascavel;-;-;2;1;3
410510 Centenário do Sul;-;-;1;1;2
410550 Cianorte;-;-;1;-;1
410590 Colorado;-;-;-;1;1
410640 Cornélio Procópio;-;-;-;1;1
410660 Cruzeiro do Oeste;-;-;-;1;1
410690 Curitiba;-;-;5;3;8
410830 Foz do Iguaçu;-;-;6;1;7
410920 Guaraci;-;-;-;1;1
410960 Guaratuba;-;-;1;-;1
410980 Ibiporã;-;-;-;2;2
411130 Itaúna do Sul;-;-;1;-;1
411370 Londrina;-;-;5;5;10
411520 Maringá;-;-;4;7;11
411690 Nova Esperança;-;-;1;-;1
411820 Paranaguá;-;-;2;2;4
411840 Paranavaí;-;-;-;1;1
411990 Ponta Grossa;-;-;1;-;1
412000 Porecatu;-;-;-;1;1
412180 Ribeirão Claro;-;-;1;-;1
412310 Santa Amélia;-;-;-;1;1
412390 Santa Mariana;-;-;2;1;3
412405 Santa Terezinha de Itaipu;-;-;-;1;1
412550 São José dos Pinhais;-;-;1;-;1
420200 Balneário Camboriú;-;-;1;-;1
420240 Blumenau;-;-;-;1;1
420320 Camboriú;-;-;-;1;1
420540 Florianópolis;-;-;1;-;1
420830 Itapema;-;-;-;1;1
421130 Navegantes;-;-;-;1;1
421350 Porto Belo;-;-;-;1;1
421380 Praia Grande;-;-;1;-;1
430350 Camaquã;-;-;1;-;1
431225 Minas do Leão;-;-;1;-;1
431490 Porto Alegre;-;-;1;-;1
431930 São Paulo das Missões;-;-;3;10;13
500020 Água Clara;-;-;1;-;1
500085 Angélica;-;-;-;1;1
500100 Aparecida do Taboado;-;-;3;4;7
500150 Bandeirantes;-;-;1;-;1
500190 Bataguassu;-;-;1;1;2
500220 Bonito;-;-;4;5;9
500230 Brasilândia;-;-;1;-;1
500240 Caarapó;-;-;-;1;1
500270 Campo Grande;-;-;16;19;35
500280 Caracol;-;-;1;-;1
500290 Cassilândia;-;-;1;2;3
500295 Chapadão do Sul;-;-;-;1;1
500320 Corumbá;-;-;1;2;3
500330 Coxim;-;-;1;2;3
500345 Deodápolis;-;-;-;1;1
500348 Dois Irmãos do Buriti;-;-;4;2;6
500370 Dourados;-;-;3;4;7
500410 Guia Lopes da Laguna;-;-;1;-;1
500500 Jardim;-;-;-;1;1
500600 Nova Alvorada do Sul;-;-;1;-;1
500620 Nova Andradina;-;-;1;-;1
500630 Paranaíba;-;-;3;3;6
500660 Ponta Porã;-;-;3;3;6
500710 Ribas do Rio Pardo;-;-;3;1;4
500720 Rio Brilhante;-;-;2;1;3
500755 Santa Rita do Pardo;-;-;1;-;1
500769 São Gabriel do Oeste;-;-;-;1;1
500830 Três Lagoas;-;-;10;6;16
510025 Alta Floresta;-;-;1;1;2
510030 Alto Araguaia;-;-;-;1;1
510060 Alto Taquari;-;-;2;-;2
510180 Barra do Garças;-;-;-;1;1
510190 Brasnorte;-;-;-;1;1
510250 Cáceres;-;-;1;-;1
510300 Chapada dos Guimarães;-;-;1;1;2
510340 Cuiabá;-;-;13;7;20
510460 Itiquira;-;-;1;-;1
510480 Jaciara;-;-;1;-;1
510520 Juscimeira;-;-;-;1;1
510558 Marcelândia;-;-;1;-;1
510615 Nova Bandeirantes;-;-;1;-;1
510890 Nova Maringá;-;-;-;1;1
510675 Pontes e Lacerda;-;-;1;-;1
510760 Rondonópolis;-;-;3;1;4
510710 São José dos Quatro Marcos;-;-;1;-;1
510790 Sinop;-;-;1;2;3
510792 Sorriso;-;-;-;1;1
510795 Tangará da Serra;-;-;-;1;1
510840 Várzea Grande;-;-;-;1;1
510000 Município ignorado - MT;-;-;1;-;1
520060 Alto Paraíso de Goiás;-;-;-;1;1
520110 Anápolis;-;-;1;1;2
520140 Aparecida de Goiânia;-;-;-;2;2
520450 Caldas Novas;-;-;4;3;7
520640 Crixás;-;-;-;1;1
520870 Goiânia;-;-;5;7;12
520890 Goiás;-;-;1;2;3
521225 Lagoa Santa;-;-;3;1;4
521880 Rio Verde;-;-;1;-;1
521930 Santa Helena de Goiás;-;-;-;1;1
522028 São Patrício;-;-;1;5;6
522140 Trindade;-;-;-;2;2
530010 Brasília;-;-;3;5;8
000000 Ignorado ou exterior;10;39;22077;27077;49203
000000 Total;12;96;90936;111541;202585
