DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;
Casos Prováveis por Município infecção e Ocorreu hospitalização       ;;;;
Período:2014;;;;
Município infecção;Ign/Branco;Sim;Não;Total
355680 Viradouro;3;-;84;87
355690 Vista Alegre do Alto;-;-;2;2
355695 Vitória Brasil;-;-;1;1
355700 Votorantim;-;-;27;27
355710 Votuporanga;200;11;2568;2779
355715 Zacarias;28;-;51;79
350000 Município ignorado - SP;-;1;2;3
410020 Adrianópolis;-;-;1;1
410210 Astorga;-;-;1;1
410420 Campo Largo;1;-;-;1
410480 Cascavel;-;-;1;1
410560 Cidade Gaúcha;-;-;1;1
410640 Cornélio Procópio;-;1;-;1
410690 Curitiba;1;1;1;3
411370 Londrina;2;-;9;11
411430 Mandirituba;-;-;1;1
411500 Marilena;1;-;4;5
411520 Maringá;5;2;13;20
411710 Nova Londrina;1;-;4;5
411720 Nova Olímpia;1;-;-;1
411750 Paiçandu;-;1;-;1
411820 Paranaguá;-;-;1;1
411995 Pontal do Paraná;-;-;1;1
412110 Quinta do Sol;-;1;-;1
412210 Rio Bom;-;-;1;1
412340 Santa Fé;-;-;1;1
412410 Santo Antônio da Platina;-;-;1;1
412500 São João do Ivaí;-;1;-;1
412625 Sarandi;1;-;1;2
412640 Sertaneja;-;1;-;1
412800 Ubiratã;-;1;-;1
412840 Uraí;-;-;1;1
420040 Água Doce;2;-;1;3
420210 Barra Velha;1;-;-;1
420240 Blumenau;-;-;1;1
420320 Camboriú;2;-;-;2
420460 Criciúma;1;-;1;2
431470 Planalto;-;-;1;1
431490 Porto Alegre;-;1;1;2
431560 Rio Grande;1;-;-;1
500080 Anaurilândia;-;-;1;1
500085 Angélica;-;-;1;1
500100 Aparecida do Taboado;2;-;3;5
500220 Bonito;-;-;2;2
500230 Brasilândia;-;-;1;1
500270 Campo Grande;-;-;2;2
500295 Chapadão do Sul;-;-;2;2
500325 Costa Rica;1;-;-;1
500345 Deodápolis;-;-;1;1
500370 Dourados;1;-;-;1
500450 Itaporã;1;-;-;1
500560 Miranda;1;-;-;1
500690 Porto Murtinho;1;-;-;1
500830 Três Lagoas;1;1;6;8
510185 Bom Jesus do Araguaia;1;-;-;1
510263 Campo Novo do Parecis;-;-;1;1
510340 Cuiabá;1;-;4;5
510650 Poconé;1;-;-;1
510704 Primavera do Leste;-;1;-;1
510790 Sinop;1;-;3;4
520060 Alto Paraíso de Goiás;-;1;-;1
520110 Anápolis;-;1;1;2
520450 Caldas Novas;-;-;2;2
520510 Catalão;1;1;1;3
520547 Chapadão do Céu;-;-;1;1
520725 Doverlândia;-;-;1;1
520860 Goianésia;1;-;-;1
520870 Goiânia;4;-;6;10
520890 Goiás;-;1;4;5
521020 Iporá;1;-;-;1
521150 Itumbiara;1;-;1;2
521190 Jataí;1;-;2;3
521250 Luziânia;2;-;1;3
521370 Montes Claros de Goiás;-;1;-;1
521570 Palmeiras de Goiás;-;-;1;1
521710 Piracanjuba;-;1;-;1
521730 Pirenópolis;-;1;-;1
521930 Santa Helena de Goiás;-;-;1;1
522050 Serranópolis;-;-;1;1
522160 Uruaçu;1;-;-;1
530010 Brasília;4;-;7;11
000000 Ignorado ou exterior;20079;706;6963;27748
000000 Total;101651;4874;120946;227471
