DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;
Casos Prováveis por Município infecção e Evolução;;;;;;
Período:2016;;;;;;
Município infecção;Ign/Branco;Cura;Óbito pelo agravo notificado;Óbito por outra causa;Óbito em investigação;Total
353140 Monte Aprazível;1;131;-;-;-;132
353150 Monte Azul Paulista;4;557;-;-;-;561
353160 Monte Castelo;-;3;-;-;-;3
353180 Monte Mor;1;35;-;-;-;36
353190 Morro Agudo;-;74;-;-;-;74
353200 Morungaba;-;2;-;-;-;2
353205 Motuca;-;2;-;-;-;2
353210 Murutinga do Sul;-;69;-;-;-;69
353215 Nantes;-;8;-;-;-;8
353220 Narandiba;-;25;-;-;-;25
353230 Natividade da Serra;-;1;-;-;-;1
353240 Nazaré Paulista;-;1;-;-;-;1
353250 Neves Paulista;-;72;-;-;-;72
353260 Nhandeara;-;27;-;-;-;27
353270 Nipoã;-;8;-;-;-;8
353280 Nova Aliança;5;83;-;-;1;89
353284 Nova Canaã Paulista;-;4;-;-;-;4
353290 Nova Europa;1;4;-;-;-;5
353300 Nova Granada;3;63;-;-;-;66
353320 Nova Independência;-;30;-;-;-;30
353330 Nova Luzitânia;1;-;-;-;-;1
353340 Nova Odessa;1;56;-;-;-;57
353325 Novais;-;1;-;-;-;1
353350 Novo Horizonte;1;47;-;-;-;48
353360 Nuporanga;6;4;-;-;-;10
353390 Olímpia;3;170;-;-;-;173
353400 Onda Verde;1;10;-;-;-;11
353410 Oriente;-;13;-;-;-;13
353420 Orindiúva;-;5;-;-;-;5
353430 Orlândia;1;601;-;-;-;602
353440 Osasco;6;728;4;-;-;738
353460 Osvaldo Cruz;2;209;1;-;-;212
353470 Ourinhos;-;103;-;-;-;103
353480 Ouro Verde;-;7;-;-;-;7
353475 Ouroeste;2;92;-;-;-;94
353490 Pacaembu;1;51;-;-;-;52
353500 Palestina;-;53;-;-;-;53
353510 Palmares Paulista;-;10;-;-;-;10
353520 Palmeira d'Oeste;-;21;-;-;-;21
353530 Palmital;-;9;-;-;-;9
353540 Panorama;-;54;-;-;-;54
353550 Paraguaçu Paulista;1;31;-;-;-;32
353560 Paraibuna;1;4;-;-;-;5
353570 Paraíso;-;4;-;-;-;4
353580 Paranapanema;-;2;-;-;-;2
353590 Paranapuã;12;20;-;-;-;32
353600 Parapuã;1;19;-;-;-;20
353620 Pariquera-Açu;1;21;-;-;-;22
353625 Parisi;-;21;-;-;-;21
353640 Paulicéia;2;10;-;-;-;12
353650 Paulínia;46;7;-;-;-;53
353660 Paulo de Faria;1;42;-;-;-;43
353670 Pederneiras;-;136;-;-;-;136
353680 Pedra Bela;-;2;-;-;-;2
353690 Pedranópolis;-;1;-;-;-;1
353700 Pedregulho;3;3;-;-;-;6
353710 Pedreira;-;12;-;-;-;12
353720 Pedro de Toledo;-;2;-;-;-;2
353730 Penápolis;3;128;-;-;-;131
353740 Pereira Barreto;3;196;-;-;-;199
353760 Peruíbe;2;114;-;-;-;116
353770 Piacatu;1;15;-;-;-;16
353790 Pilar do Sul;-;1;-;-;-;1
353800 Pindamonhangaba;-;413;-;-;-;413
353810 Pindorama;2;3;-;-;-;5
353820 Pinhalzinho;-;1;-;-;-;1
353830 Piquerobi;4;5;-;-;-;9
353850 Piquete;-;1;-;-;-;1
353860 Piracaia;1;2;-;-;-;3
353870 Piracicaba;10;2227;4;-;-;2241
353880 Piraju;-;7;-;-;-;7
353890 Pirajuí;1;74;-;-;-;75
353900 Pirangi;1;73;-;-;-;74
353910 Pirapora do Bom Jesus;-;3;-;-;-;3
353920 Pirapozinho;-;126;1;-;-;127
353930 Pirassununga;1;91;-;-;-;92
353940 Piratininga;-;31;-;-;-;31
353950 Pitangueiras;12;426;-;-;-;438
353960 Planalto;2;55;-;-;-;57
353970 Platina;1;-;-;-;-;1
353980 Poá;33;12;-;-;-;45
353990 Poloni;2;24;-;-;-;26
354000 Pompéia;-;3;-;-;-;3
354020 Pontal;3;914;-;-;-;917
354025 Pontalinda;1;5;-;-;-;6
354030 Pontes Gestal;-;25;-;-;-;25
354040 Populina;2;41;-;-;-;43
354050 Porangaba;-;1;-;-;-;1
354060 Porto Feliz;3;53;-;-;-;56
354070 Porto Ferreira;142;77;-;-;-;219
354075 Potim;1;11;-;-;-;12
354080 Potirendaba;11;136;-;-;-;147
354090 Pradópolis;1;65;-;-;-;66
354100 Praia Grande;5;72;2;-;-;79
354110 Presidente Alves;-;3;-;-;-;3
354120 Presidente Bernardes;1;47;-;-;-;48
354130 Presidente Epitácio;13;750;-;1;-;764
354140 Presidente Prudente;9;12565;30;-;-;12604
354150 Presidente Venceslau;2;177;-;1;-;180
354160 Promissão;-;24;-;-;-;24
354170 Quatá;1;75;-;-;-;76
354190 Queluz;1;42;-;-;-;43
354200 Quintana;-;4;-;-;-;4
354210 Rafard;3;121;-;-;-;124
354220 Rancharia;5;343;-;-;-;348
354230 Redenção da Serra;-;1;-;-;-;1
354240 Regente Feijó;-;269;-;-;-;269
354250 Reginópolis;-;2;-;-;-;2
354260 Registro;2;219;-;-;-;221
354270 Restinga;1;-;-;-;-;1
354290 Ribeirão Bonito;1;7;-;-;-;8
354310 Ribeirão Corrente;1;-;-;-;-;1
354323 Ribeirão dos Índios;1;3;-;-;-;4
354330 Ribeirão Pires;1;6;-;-;-;7
354340 Ribeirão Preto;584;18263;6;1;-;18854
354360 Rifaina;-;20;-;-;-;20
354370 Rincão;-;1;-;-;-;1
354380 Rinópolis;-;16;-;-;-;16
354390 Rio Claro;3;99;-;-;-;102
354400 Rio das Pedras;-;64;-;-;-;64
354420 Riolândia;-;17;-;-;-;17
354425 Rosana;1;28;-;-;-;29
354430 Roseira;-;2;-;-;-;2
354440 Rubiácea;-;5;-;-;-;5
354450 Rubinéia;1;10;-;-;-;11
354460 Sabino;-;1;-;-;-;1
354470 Sagres;-;4;-;-;-;4
354480 Sales;1;11;-;-;-;12
354490 Sales Oliveira;2;5;-;-;-;7
354500 Salesópolis;-;5;-;-;-;5
354510 Salmourão;-;2;-;-;-;2
354515 Saltinho;1;41;-;-;-;42
354520 Salto;-;252;-;1;-;253
354530 Salto de Pirapora;1;44;-;-;-;45
354550 Sandovalina;6;55;-;-;-;61
354560 Santa Adélia;-;3;-;-;-;3
354570 Santa Albertina;-;4;-;-;-;4
354580 Santa Bárbara d'Oeste;23;267;-;-;-;290
354600 Santa Branca;1;7;-;-;-;8
354610 Santa Clara d'Oeste;2;35;-;-;-;37
354625 Santa Cruz da Esperança;-;1;-;-;-;1
354630 Santa Cruz das Palmeiras;1;34;1;-;-;36
354640 Santa Cruz do Rio Pardo;-;5;-;-;-;5
354650 Santa Ernestina;54;-;-;-;-;54
354660 Santa Fé do Sul;29;733;-;-;-;762
354670 Santa Gertrudes;-;1;-;-;-;1
354680 Santa Isabel;4;71;-;-;-;75
354690 Santa Lúcia;-;17;-;-;-;17
354700 Santa Maria da Serra;-;6;-;-;-;6
354710 Santa Mercedes;-;8;-;-;-;8
354740 Santa Rita d'Oeste;1;3;-;-;-;4
354750 Santa Rita do Passa Quatro;3;72;-;-;-;75
354760 Santa Rosa de Viterbo;-;17;-;-;-;17
354765 Santa Salete;-;3;-;-;-;3
354730 Santana de Parnaíba;18;99;-;-;-;117
354770 Santo Anastácio;26;715;3;2;-;746
354780 Santo André;11;343;-;-;-;354
354790 Santo Antônio da Alegria;62;5;-;-;-;67
354800 Santo Antônio de Posse;1;146;-;-;-;147
354805 Santo Antônio do Aracanguá;1;8;-;-;-;9
354810 Santo Antônio do Jardim;-;7;-;-;-;7
354820 Santo Antônio do Pinhal;-;1;-;-;-;1
354830 Santo Expedito;-;6;-;-;-;6
354840 Santópolis do Aguapeí;3;1;-;-;-;4
354850 Santos;106;1132;-;1;-;1239
354860 São Bento do Sapucaí;1;1;-;-;-;2
354870 São Bernardo do Campo;5;903;-;-;-;908
354880 São Caetano do Sul;7;52;-;-;-;59
354890 São Carlos;1;297;1;-;-;299
354900 São Francisco;1;1;-;-;-;2
354910 São João da Boa Vista;-;75;-;-;-;75
354920 São João das Duas Pontes;2;7;-;1;-;10
354925 São João de Iracema;1;1;-;-;-;2
354930 São João do Pau d'Alho;-;38;-;-;-;38
354940 São Joaquim da Barra;207;480;1;-;-;688
354950 São José da Bela Vista;13;3;-;-;-;16
354970 São José do Rio Pardo;5;41;-;-;-;46
354980 São José do Rio Preto;925;14036;2;1;-;14964
354990 São José dos Campos;10;1644;1;1;-;1656
354995 São Lourenço da Serra;-;1;-;-;-;1
355000 São Luís do Paraitinga;2;-;-;-;-;2
355010 São Manuel;8;46;-;-;-;54
355020 São Miguel Arcanjo;-;9;-;-;-;9
355030 São Paulo;3885;10989;16;3;-;14893
355040 São Pedro;-;8;-;-;-;8
355050 São Pedro do Turvo;-;79;-;-;-;79
355060 São Roque;1;68;-;-;-;69
355070 São Sebastião;2;43;-;-;-;45
355080 São Sebastião da Grama;-;1;-;-;-;1
355090 São Simão;2;409;-;-;-;411
355100 São Vicente;14;41;1;-;-;56
355130 Sebastianópolis do Sul;-;4;-;-;-;4
355140 Serra Azul;-;39;-;-;-;39
355160 Serra Negra;-;18;-;-;-;18
355150 Serrana;10;472;-;-;-;482
355170 Sertãozinho;58;3014;3;-;-;3075
355180 Sete Barras;-;3;-;-;-;3
355190 Severínia;1;48;-;-;-;49
355210 Socorro;-;8;-;-;-;8
355220 Sorocaba;3;328;3;-;-;334
355230 Sud Mennucci;6;19;-;-;-;25
355240 Sumaré;6;456;-;-;-;462
355255 Suzanápolis;3;15;-;-;-;18
355250 Suzano;324;24;-;-;-;348
355260 Tabapuã;-;8;-;-;-;8
355270 Tabatinga;-;264;-;-;-;264
355280 Taboão da Serra;8;28;-;-;-;36
355290 Taciba;-;1;-;-;-;1
355300 Taguaí;-;5;-;-;-;5
355310 Taiaçu;1;20;-;-;-;21
355320 Taiúva;2;128;-;-;-;130
355330 Tambaú;-;36;-;-;-;36
355340 Tanabi;2;88;-;-;-;90
355350 Tapiraí;-;1;-;-;-;1
355360 Tapiratiba;-;1;-;-;-;1
355365 Taquaral;-;2;-;-;-;2
355370 Taquaritinga;2;1597;-;1;-;1600
355380 Taquarituba;-;1;-;-;-;1
355390 Tarabai;-;4;-;-;-;4
355400 Tatuí;7;98;-;-;-;105
355410 Taubaté;1;3253;3;-;-;3257
355430 Teodoro Sampaio;-;188;1;-;-;189
355440 Terra Roxa;2;6;-;-;-;8
355450 Tietê;-;64;-;-;-;64
355465 Torre de Pedra;-;1;-;-;-;1
355470 Torrinha;-;3;-;-;-;3
355480 Tremembé;5;583;1;1;-;590
355490 Três Fronteiras;5;30;-;-;-;35
355495 Tuiuti;-;3;-;-;-;3
355500 Tupã;-;105;-;-;-;105
355510 Tupi Paulista;-;3;-;-;-;3
355520 Turiúba;1;19;-;-;-;20
355530 Turmalina;2;15;-;-;-;17
355535 Ubarana;3;96;-;-;-;99
355540 Ubatuba;6;66;-;-;-;72
355560 Uchoa;1;166;-;-;-;167
355570 União Paulista;-;7;-;-;-;7
355580 Urânia;11;81;-;-;-;92
355590 Uru;-;3;-;-;-;3
355600 Urupês;1;5;-;-;-;6
355610 Valentim Gentil;-;22;-;-;-;22
355620 Valinhos;2;16;-;-;-;18
355630 Valparaíso;-;28;-;-;-;28
355640 Vargem Grande do Sul;-;121;-;-;-;121
355645 Vargem Grande Paulista;-;8;-;-;-;8
355650 Várzea Paulista;2;24;-;-;-;26
355660 Vera Cruz;-;10;-;-;-;10
355670 Vinhedo;-;42;-;-;-;42
355680 Viradouro;1;68;-;-;-;69
355690 Vista Alegre do Alto;2;10;-;-;-;12
355695 Vitória Brasil;1;14;-;-;-;15
355700 Votorantim;-;38;-;-;-;38
355710 Votuporanga;-;844;-;-;-;844
410080 Alvorada do Sul;-;1;-;-;-;1
410150 Arapongas;1;-;-;-;-;1
410190 Assaí;1;3;-;-;-;4
410240 Bandeirantes;-;1;-;-;-;1
410360 Cambará;-;2;-;-;-;2
410370 Cambé;-;1;-;-;-;1
410480 Cascavel;2;1;-;-;-;3
410510 Centenário do Sul;2;-;-;-;-;2
410550 Cianorte;-;1;-;-;-;1
410590 Colorado;-;1;-;-;-;1
410640 Cornélio Procópio;-;1;-;-;-;1
410660 Cruzeiro do Oeste;-;1;-;-;-;1
410690 Curitiba;1;7;-;-;-;8
410830 Foz do Iguaçu;1;6;-;-;-;7
410920 Guaraci;-;1;-;-;-;1
410960 Guaratuba;-;1;-;-;-;1
410980 Ibiporã;-;2;-;-;-;2
411130 Itaúna do Sul;-;1;-;-;-;1
411370 Londrina;-;10;-;-;-;10
411520 Maringá;1;10;-;-;-;11
411690 Nova Esperança;-;1;-;-;-;1
411820 Paranaguá;-;4;-;-;-;4
411840 Paranavaí;1;-;-;-;-;1
411990 Ponta Grossa;-;1;-;-;-;1
412000 Porecatu;-;1;-;-;-;1
412180 Ribeirão Claro;-;1;-;-;-;1
412310 Santa Amélia;-;1;-;-;-;1
412390 Santa Mariana;-;3;-;-;-;3
412405 Santa Terezinha de Itaipu;-;1;-;-;-;1
412550 São José dos Pinhais;1;-;-;-;-;1
420200 Balneário Camboriú;-;1;-;-;-;1
420240 Blumenau;-;1;-;-;-;1
420320 Camboriú;-;1;-;-;-;1
420540 Florianópolis;-;1;-;-;-;1
420830 Itapema;-;1;-;-;-;1
421130 Navegantes;-;1;-;-;-;1
421350 Porto Belo;-;1;-;-;-;1
421380 Praia Grande;-;1;-;-;-;1
430350 Camaquã;-;1;-;-;-;1
431225 Minas do Leão;-;1;-;-;-;1
431490 Porto Alegre;-;1;-;-;-;1
431930 São Paulo das Missões;4;9;-;-;-;13
500020 Água Clara;-;1;-;-;-;1
500085 Angélica;-;1;-;-;-;1
500100 Aparecida do Taboado;1;6;-;-;-;7
500150 Bandeirantes;-;1;-;-;-;1
500190 Bataguassu;-;2;-;-;-;2
500220 Bonito;2;7;-;-;-;9
500230 Brasilândia;-;1;-;-;-;1
500240 Caarapó;-;1;-;-;-;1
500270 Campo Grande;6;29;-;-;-;35
500280 Caracol;-;1;-;-;-;1
500290 Cassilândia;-;3;-;-;-;3
500295 Chapadão do Sul;-;1;-;-;-;1
500320 Corumbá;-;3;-;-;-;3
500330 Coxim;-;3;-;-;-;3
500345 Deodápolis;-;1;-;-;-;1
500348 Dois Irmãos do Buriti;1;5;-;-;-;6
500370 Dourados;1;6;-;-;-;7
500410 Guia Lopes da Laguna;-;1;-;-;-;1
500500 Jardim;-;1;-;-;-;1
500600 Nova Alvorada do Sul;-;1;-;-;-;1
500620 Nova Andradina;-;1;-;-;-;1
500630 Paranaíba;-;6;-;-;-;6
500660 Ponta Porã;-;6;-;-;-;6
500710 Ribas do Rio Pardo;1;3;-;-;-;4
500720 Rio Brilhante;-;3;-;-;-;3
500755 Santa Rita do Pardo;-;1;-;-;-;1
500769 São Gabriel do Oeste;-;1;-;-;-;1
500830 Três Lagoas;1;15;-;-;-;16
510025 Alta Floresta;-;2;-;-;-;2
510030 Alto Araguaia;-;1;-;-;-;1
510060 Alto Taquari;-;2;-;-;-;2
510180 Barra do Garças;-;1;-;-;-;1
510190 Brasnorte;1;-;-;-;-;1
510250 Cáceres;-;1;-;-;-;1
510300 Chapada dos Guimarães;-;2;-;-;-;2
510340 Cuiabá;1;19;-;-;-;20
510460 Itiquira;-;1;-;-;-;1
510480 Jaciara;-;1;-;-;-;1
510520 Juscimeira;-;1;-;-;-;1
510558 Marcelândia;-;1;-;-;-;1
510615 Nova Bandeirantes;-;1;-;-;-;1
510890 Nova Maringá;-;1;-;-;-;1
510675 Pontes e Lacerda;-;1;-;-;-;1
510760 Rondonópolis;-;4;-;-;-;4
510710 São José dos Quatro Marcos;-;1;-;-;-;1
510790 Sinop;-;3;-;-;-;3
510792 Sorriso;-;1;-;-;-;1
510795 Tangará da Serra;-;1;-;-;-;1
510840 Várzea Grande;-;1;-;-;-;1
510000 Município ignorado - MT;-;1;-;-;-;1
520060 Alto Paraíso de Goiás;1;-;-;-;-;1
520110 Anápolis;-;2;-;-;-;2
520140 Aparecida de Goiânia;-;2;-;-;-;2
520450 Caldas Novas;1;6;-;-;-;7
520640 Crixás;1;-;-;-;-;1
520870 Goiânia;-;12;-;-;-;12
520890 Goiás;-;3;-;-;-;3
521225 Lagoa Santa;-;4;-;-;-;4
521880 Rio Verde;-;1;-;-;-;1
521930 Santa Helena de Goiás;-;1;-;-;-;1
522028 São Patrício;4;2;-;-;-;6
522140 Trindade;-;2;-;-;-;2
530010 Brasília;-;8;-;-;-;8
000000 Ignorado ou exterior;24346;24832;7;10;8;49203
000000 Total;35644;166782;118;30;11;202585
