DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;;;;;
Casos Prováveis por Município infecção e Mês 1º Sintoma(s);;;;;;;;;;;;;
Período:2014;;;;;;;;;;;;;
Município infecção;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
291650 Itapicuru;-;-;-;-;-;-;-;-;-;-;-;1;1
291720 Ituaçu;-;1;-;-;-;-;-;-;-;-;-;-;1
291750 Jacobina;-;1;-;-;-;-;-;1;-;-;-;-;2
291840 Juazeiro;1;1;-;-;-;-;-;-;-;-;-;-;2
292100 Mata de São João;-;-;-;1;-;-;-;-;-;-;-;-;1
292120 Miguel Calmon;-;1;-;-;-;-;-;-;-;-;-;-;1
292150 Monte Santo;-;-;-;-;-;-;-;1;-;-;-;-;1
292160 Morpará;-;-;-;1;-;-;-;-;-;-;-;-;1
292350 Palmeiras;-;-;1;-;-;-;-;-;-;-;-;-;1
292470 Piripá;-;-;-;-;-;-;1;-;-;-;-;-;1
292525 Ponto Novo;-;-;-;-;-;1;-;-;-;-;-;-;1
292530 Porto Seguro;-;1;-;-;-;1;2;-;-;-;-;-;4
292670 Rio de Contas;-;-;1;-;-;-;-;-;-;-;-;-;1
292740 Salvador;3;2;2;7;1;2;5;-;-;-;-;-;22
293010 Senhor do Bonfim;-;-;1;-;-;-;-;-;-;-;-;-;1
293060 Serrolândia;-;-;-;-;-;1;-;-;-;-;-;-;1
293100 Tanhaçu;1;-;-;-;-;-;-;-;-;-;-;-;1
293305 Várzea da Roça;-;-;-;-;-;-;1;-;-;-;-;-;1
293310 Várzea do Poço;-;-;1;-;-;-;-;-;-;-;-;-;1
293360 Xique-Xique;-;1;-;-;-;-;-;-;-;-;-;-;1
290000 Município ignorado - BA;-;1;-;-;-;-;-;-;-;-;-;-;1
310160 Alfenas;-;-;-;1;1;1;-;-;-;-;-;1;4
310400 Araxá;-;-;-;-;-;-;-;-;-;-;-;1;1
310420 Arcos;-;-;-;-;-;1;-;-;-;-;-;-;1
310620 Belo Horizonte;2;1;-;2;1;2;1;-;-;-;-;1;10
310800 Bom Sucesso;-;-;-;-;-;-;-;-;-;-;-;1;1
310855 Brasilândia de Minas;-;-;1;-;-;-;-;-;-;-;-;-;1
310860 Brasília de Minas;-;-;-;-;-;-;1;-;-;-;-;-;1
311060 Cambuí;-;1;-;-;-;-;-;-;-;-;-;-;1
311110 Campina Verde;1;1;-;-;-;-;-;-;-;-;-;-;2
311120 Campo Belo;2;3;-;-;1;-;-;-;-;-;-;-;6
311230 Capelinha;1;-;-;-;-;-;-;-;-;-;-;-;1
311280 Capitólio;-;-;1;-;-;-;-;-;-;-;-;-;1
311400 Carmo da Mata;-;-;-;2;-;1;-;-;-;-;-;-;3
311440 Carmo do Rio Claro;-;-;-;1;-;-;-;-;-;-;-;-;1
311455 Carneirinho;-;-;-;-;1;-;-;-;-;-;-;-;1
311490 Casa Grande;-;-;1;-;-;-;-;-;-;-;-;-;1
311510 Cássia;-;-;-;-;-;1;-;-;-;-;-;-;1
311530 Cataguases;-;-;-;1;-;-;-;-;-;-;-;-;1
311550 Caxambu;-;-;-;1;-;-;-;-;-;-;-;-;1
311610 Chapada do Norte;-;-;-;-;-;-;-;-;-;-;-;1;1
311770 Conceição do Rio Verde;-;-;1;-;-;-;-;-;-;-;-;-;1
311940 Coronel Fabriciano;-;-;-;-;-;-;-;-;-;1;-;-;1
312120 Delfinópolis;-;-;-;2;2;-;-;-;-;-;-;-;4
312160 Diamantina;-;-;1;-;-;-;-;-;-;-;-;-;1
312230 Divinópolis;-;-;-;2;1;1;-;-;-;1;-;-;5
312510 Extrema;-;-;1;-;-;-;-;-;-;-;-;-;1
312700 Fronteira;-;1;-;-;-;-;1;-;-;-;2;-;4
312710 Frutal;-;-;1;2;1;2;-;-;-;-;-;-;6
312830 Guaranésia;1;-;-;-;-;-;-;-;-;-;-;-;1
312870 Guaxupé;-;-;-;1;-;-;-;-;-;-;-;-;1
312970 Ibiraci;-;1;-;-;-;-;-;-;-;-;-;-;1
313240 Itajubá;-;-;1;2;-;-;-;-;-;-;-;-;3
313420 Ituiutaba;-;-;-;-;1;-;-;-;-;-;-;-;1
313440 Iturama;-;-;-;-;-;-;-;-;1;-;-;-;1
313620 João Monlevade;-;-;-;-;-;1;-;-;-;-;-;-;1
313630 João Pinheiro;-;-;-;1;-;-;-;-;-;-;-;-;1
313670 Juiz de Fora;-;-;-;-;1;-;-;-;-;-;-;-;1
313695 Juvenília;-;-;-;1;-;-;-;-;-;-;-;-;1
313780 Lambari;-;-;-;1;-;-;-;-;-;-;-;-;1
313820 Lavras;-;-;1;2;-;-;-;-;-;-;-;-;3
313840 Leopoldina;1;-;-;-;-;-;-;-;-;-;-;-;1
314070 Mateus Leme;-;-;-;1;-;-;-;-;-;-;-;-;1
314110 Matozinhos;-;-;-;-;1;-;-;-;-;-;-;-;1
314140 Medina;1;-;-;-;-;-;-;-;-;-;-;-;1
314270 Montalvânia;1;-;-;-;-;-;-;-;-;-;-;-;1
314340 Monte Sião;-;-;-;-;1;-;-;-;-;-;-;-;1
314330 Montes Claros;1;-;2;-;-;-;-;-;-;-;-;-;3
314350 Morada Nova de Minas;1;-;-;-;-;-;-;-;-;-;-;-;1
314410 Muzambinho;-;-;1;-;-;-;-;-;-;-;-;-;1
314520 Nova Serrana;-;-;-;1;-;-;-;-;-;-;-;-;1
314700 Paracatu;1;1;-;-;-;-;-;-;-;-;1;-;3
314730 Paraisópolis;-;-;-;1;-;-;-;-;-;-;-;-;1
314760 Passa Quatro;-;-;-;-;-;-;2;-;-;-;-;-;2
314790 Passos;2;3;6;6;2;1;-;-;-;-;-;-;20
314800 Patos de Minas;-;-;-;-;-;-;2;-;-;-;-;-;2
314990 Perdões;-;-;2;-;-;-;-;-;-;-;-;-;2
315070 Pirajuba;-;-;1;-;-;-;-;-;-;-;-;-;1
315100 Piranguinho;1;-;-;-;-;-;-;-;-;-;-;-;1
315140 Pitangui;-;-;-;-;1;-;-;-;-;-;-;-;1
315150 Piumhi;-;-;-;-;1;-;-;-;-;-;-;-;1
315160 Planura;-;-;-;1;-;-;-;-;-;-;-;-;1
315180 Poços de Caldas;-;-;1;1;1;-;-;1;-;-;-;-;4
315210 Ponte Nova;-;-;-;1;-;-;-;-;-;-;-;-;1
315250 Pouso Alegre;2;-;-;1;3;-;-;-;-;-;-;-;6
315460 Ribeirão das Neves;-;-;-;1;-;-;-;-;-;-;-;-;1
315727 Santa Bárbara do Monte Verde;-;-;-;1;-;-;1;-;-;-;-;-;2
315980 Santa Vitória;-;-;-;-;1;-;-;-;-;-;-;-;1
316250 São João del Rei;-;-;-;1;-;-;-;-;-;-;-;-;1
316470 São Sebastião do Paraíso;-;-;-;-;-;-;-;1;-;-;-;-;1
316520 São Thomé das Letras;-;-;-;-;1;-;-;-;-;-;-;-;1
317010 Uberaba;-;-;-;2;1;2;-;-;-;-;-;-;5
317020 Uberlândia;1;1;2;1;-;-;-;-;-;-;-;1;6
310000 Município ignorado - MG;2;-;-;-;-;-;-;-;-;-;-;-;2
320120 Cachoeiro de Itapemirim;-;-;-;1;-;-;-;-;-;-;-;-;1
320520 Vila Velha;-;-;-;1;-;-;-;-;-;-;-;-;1
320530 Vitória;-;-;1;1;-;-;-;-;-;-;-;-;2
330010 Angra dos Reis;-;-;-;1;-;-;-;-;-;-;-;-;1
330040 Barra Mansa;-;-;-;1;-;-;-;-;-;-;-;-;1
330200 Itaguaí;1;-;-;-;-;-;-;-;-;-;-;-;1
330225 Itatiaia;-;-;-;-;1;-;-;-;-;-;-;-;1
330330 Niterói;-;-;-;-;1;-;-;-;-;-;-;-;1
330380 Paraty;-;1;2;-;-;-;1;1;-;-;2;1;8
330420 Resende;-;-;-;-;-;-;-;-;-;-;-;1;1
330455 Rio de Janeiro;6;2;3;12;11;3;1;1;2;-;1;2;44
330475 São Francisco de Itabapoana;1;-;-;-;-;-;-;-;-;-;-;2;3
330490 São Gonçalo;-;-;1;-;-;-;-;-;-;-;-;-;1
330630 Volta Redonda;1;-;-;-;-;-;-;-;-;-;-;-;1
350010 Adamantina;-;-;1;4;9;12;5;1;1;1;1;-;35
350020 Adolfo;-;-;-;-;1;-;-;-;-;-;-;-;1
350030 Aguaí;23;1;1;3;9;-;2;-;-;11;96;374;520
350040 Águas da Prata;1;-;1;-;-;-;-;-;-;-;-;-;2
350050 Águas de Lindóia;-;-;2;-;-;-;1;-;-;-;-;-;3
350055 Águas de Santa Bárbara;-;-;1;1;-;1;2;-;-;-;-;-;5
350060 Águas de São Pedro;-;15;28;39;14;4;-;-;-;-;-;-;100
350070 Agudos;1;-;1;3;4;3;3;-;-;-;-;1;16
350075 Alambari;-;1;-;1;6;-;-;-;-;-;-;-;8
350080 Alfredo Marcondes;-;-;-;-;-;1;-;-;-;-;-;-;1
350090 Altair;-;-;-;-;-;-;-;-;-;1;-;-;1
350100 Altinópolis;-;-;-;1;-;-;-;-;-;-;-;-;1
350110 Alto Alegre;-;-;-;-;1;-;-;-;-;-;-;-;1
350115 Alumínio;-;-;1;-;4;-;-;1;-;-;-;-;6
350120 Álvares Florence;1;1;2;8;12;-;1;2;-;-;1;-;28
350130 Álvares Machado;-;-;-;2;-;-;-;-;1;-;1;1;5
350150 Alvinlândia;-;-;-;-;1;-;-;-;-;-;-;-;1
350160 Americana;210;1528;2186;3334;1494;208;35;8;13;6;2;24;9048
350170 Américo Brasiliense;1;5;11;10;25;4;3;1;2;-;2;1;65
350180 Américo de Campos;-;-;1;23;20;7;5;-;-;-;1;-;57
350190 Amparo;-;1;11;111;50;9;5;2;3;3;3;3;201
350200 Analândia;-;-;-;1;-;1;-;-;-;-;-;-;2
350210 Andradina;2;2;7;6;14;11;1;-;2;-;1;5;51
350250 Aparecida;3;-;4;11;17;6;5;-;-;1;-;-;47
350260 Aparecida d'Oeste;1;-;-;3;2;4;10;4;5;1;-;1;31
350275 Araçariguama;-;-;-;1;3;1;-;-;-;-;-;-;5
350280 Araçatuba;65;213;582;420;213;213;29;17;11;5;11;26;1805
350290 Araçoiaba da Serra;-;-;-;-;3;-;-;-;-;1;-;2;6
350320 Araraquara;14;62;190;526;499;196;110;17;6;5;3;18;1646
350330 Araras;1;2;5;36;40;18;1;2;1;2;-;-;108
350335 Arco-Íris;1;-;-;-;-;-;-;-;-;-;-;-;1
350340 Arealva;-;-;2;-;1;-;-;-;-;-;-;-;3
350350 Areias;-;-;-;-;1;-;-;-;-;-;-;-;1
350360 Areiópolis;-;-;1;-;-;-;-;-;-;-;-;-;1
350370 Ariranha;-;-;-;-;1;-;-;-;-;-;-;-;1
350380 Artur Nogueira;1;-;9;34;30;9;-;2;2;-;3;-;90
350390 Arujá;-;-;15;45;40;9;2;2;-;-;-;-;113
350395 Aspásia;-;-;2;-;-;-;-;-;4;-;1;-;7
350400 Assis;43;192;243;268;158;11;11;5;2;2;5;16;956
350410 Atibaia;4;15;176;631;433;89;15;4;2;1;-;1;1371
350420 Auriflama;-;-;-;5;28;11;3;1;1;1;-;-;50
350430 Avaí;2;-;-;-;3;5;4;1;-;6;47;88;156
350440 Avanhandava;-;-;-;-;3;-;2;-;-;-;-;-;5
350450 Avaré;-;-;-;3;-;-;-;-;-;-;-;-;3
350460 Bady Bassitt;-;-;-;3;4;-;-;4;-;-;1;1;13
350480 Bálsamo;-;-;-;-;3;-;-;-;-;-;-;1;4
350500 Barão de Antonina;-;-;-;2;-;2;-;-;-;-;-;-;4
350510 Barbosa;-;1;1;1;7;17;3;-;-;-;1;1;32
350520 Bariri;-;19;122;61;23;8;1;-;-;-;-;-;234
350530 Barra Bonita;-;1;8;30;11;-;-;-;-;-;-;-;50
350550 Barretos;5;3;8;14;17;10;7;1;-;1;-;4;70
350560 Barrinha;-;7;2;-;1;-;-;-;-;-;-;-;10
350570 Barueri;-;5;78;294;167;16;3;1;1;-;2;-;567
350580 Bastos;-;-;-;3;6;6;1;1;1;1;1;2;22
350590 Batatais;-;1;1;7;3;-;-;-;-;-;-;-;12
350600 Bauru;3;15;36;125;120;76;20;5;4;2;4;2;412
350610 Bebedouro;15;18;45;106;162;78;32;10;19;21;55;151;712
350620 Bento de Abreu;-;-;-;-;2;-;-;-;-;-;-;-;2
350635 Bertioga;28;68;69;84;163;48;8;2;2;-;-;-;472
350640 Bilac;-;1;4;8;20;4;2;-;-;-;-;-;39
350650 Birigui;18;69;340;1692;1236;256;84;5;9;3;4;10;3726
350670 Boa Esperança do Sul;160;454;166;33;2;2;-;-;-;-;1;1;819
350680 Bocaina;-;2;17;24;5;1;-;-;-;-;-;-;49
350690 Bofete;-;-;-;1;-;-;-;-;-;-;-;-;1
350700 Boituva;-;-;-;1;1;1;-;-;-;-;-;-;3
350710 Bom Jesus dos Perdões;1;-;1;2;2;-;-;-;-;-;-;-;6
350730 Boracéia;-;-;1;1;9;-;-;-;-;-;-;-;11
350740 Borborema;-;-;-;2;5;1;2;-;-;-;-;-;10
350750 Botucatu;-;-;-;2;1;-;-;-;-;-;-;-;3
350760 Bragança Paulista;-;4;21;123;82;24;5;2;3;1;1;1;267
350770 Braúna;1;1;1;4;14;9;3;-;-;1;1;1;36
350775 Brejo Alegre;-;2;3;7;5;-;-;-;-;-;-;-;17
350780 Brodowski;2;1;-;1;-;-;-;-;-;-;-;-;4
350790 Brotas;-;3;37;72;79;16;2;-;-;-;-;1;210
350810 Buritama;17;101;277;549;484;110;13;-;4;6;3;1;1565
350840 Cabreúva;-;-;-;2;3;2;4;-;-;-;2;-;13
350850 Caçapava;-;1;20;57;36;7;3;1;1;1;-;-;127
350860 Cachoeira Paulista;-;-;-;2;2;1;-;1;-;1;-;-;7
350870 Caconde;-;-;-;3;-;-;1;-;-;-;-;-;4
350880 Cafelândia;-;2;3;7;6;5;1;-;-;-;-;2;26
350890 Caiabu;-;-;-;-;1;-;-;-;-;-;-;-;1
350900 Caieiras;-;1;5;59;25;2;2;-;-;-;-;-;94
350910 Caiuá;-;1;1;1;1;-;-;-;-;-;1;-;5
350920 Cajamar;-;2;21;87;51;14;2;-;-;1;-;-;178
350925 Cajati;-;-;-;1;-;-;-;-;-;-;-;-;1
350930 Cajobi;1;-;5;16;32;15;9;-;-;-;-;1;79
350940 Cajuru;-;1;-;-;1;-;-;-;-;-;-;1;3
350945 Campina do Monte Alegre;-;-;-;-;-;-;1;-;-;-;-;-;1
350950 Campinas;257;1653;7635;20580;10449;1362;151;56;39;39;54;55;42330
350960 Campo Limpo Paulista;3;19;110;110;18;3;3;-;-;2;-;2;270
350970 Campos do Jordão;-;-;3;1;-;-;-;-;-;-;-;-;4
350980 Campos Novos Paulista;-;-;2;1;-;-;-;-;-;-;-;-;3
350990 Cananéia;1;1;-;4;8;3;1;-;-;-;-;-;18
350995 Canas;-;-;-;2;1;-;-;-;-;-;1;-;4
351000 Cândido Mota;-;5;12;26;17;3;2;5;2;1;4;11;88
351015 Canitar;-;-;-;1;-;-;-;-;-;-;-;-;1
351020 Capão Bonito;-;-;-;3;14;-;-;-;-;-;-;-;17
351030 Capela do Alto;-;-;-;-;1;-;-;-;-;-;-;-;1
351040 Capivari;-;-;-;5;7;1;1;-;1;2;2;-;19
351050 Caraguatatuba;22;14;56;487;1021;537;69;55;19;15;21;18;2334
351060 Carapicuíba;4;5;245;803;263;20;5;2;1;4;2;2;1356
351070 Cardoso;-;-;1;21;13;-;-;-;-;-;-;-;35
351080 Casa Branca;67;259;562;726;300;95;1;1;1;1;3;2;2018
351100 Castilho;1;1;2;4;14;8;10;3;-;-;1;-;44
351110 Catanduva;8;10;9;14;32;32;13;8;22;31;80;283;542
351120 Catiguá;-;-;-;2;1;1;-;-;-;-;-;5;9
351130 Cedral;-;1;1;-;-;-;-;-;1;-;-;-;3
351140 Cerqueira César;-;1;-;1;1;1;-;-;-;-;-;-;4
351150 Cerquilho;-;-;-;-;1;-;-;-;-;-;-;-;1
351170 Charqueada;-;2;1;2;2;3;-;1;2;-;1;-;14
355720 Chavantes;-;-;-;-;1;-;-;-;-;-;-;-;1
351190 Clementina;-;1;21;14;7;-;-;-;-;-;-;-;43
351200 Colina;-;-;1;11;17;5;2;-;1;-;-;-;37
351210 Colômbia;-;-;-;-;4;1;-;-;-;-;-;-;5
351220 Conchal;1;-;-;1;-;-;-;1;-;2;-;-;5
351230 Conchas;-;-;-;-;8;2;1;-;-;-;-;-;11
351240 Cordeirópolis;1;-;4;9;11;4;3;-;2;-;-;-;34
351250 Coroados;-;-;1;11;12;2;3;-;-;-;-;-;29
351270 Corumbataí;-;-;-;2;5;2;-;-;-;-;-;1;10
351280 Cosmópolis;-;1;10;13;22;15;6;2;1;-;-;2;72
351290 Cosmorama;-;-;1;2;10;-;1;1;-;-;-;-;15
351300 Cotia;1;3;12;137;65;6;1;1;-;-;-;-;226
351310 Cravinhos;-;1;3;26;35;16;3;1;1;-;1;-;87
351320 Cristais Paulista;-;1;-;-;1;-;-;-;-;-;-;-;2
351340 Cruzeiro;4;5;8;4;3;6;3;1;1;3;7;1;46
351350 Cubatão;1;-;1;9;12;13;3;3;1;2;5;1;51
351370 Descalvado;-;1;12;31;28;10;11;-;-;-;1;1;95
351380 Diadema;-;7;57;149;137;29;4;-;1;3;2;1;390
351385 Dirce Reis;-;-;-;-;1;-;-;-;-;-;-;-;1
351390 Divinolândia;-;-;-;1;-;1;-;-;-;-;-;-;2
351400 Dobrada;-;-;-;-;-;1;2;-;-;-;-;-;3
351410 Dois Córregos;-;5;10;26;22;2;-;-;-;-;-;-;65
351420 Dolcinópolis;-;-;-;-;-;1;-;-;-;-;-;-;1
351430 Dourado;-;-;4;12;1;-;-;-;-;-;-;-;17
351440 Dracena;-;-;1;5;8;6;12;2;2;8;3;12;59
351450 Duartina;-;-;-;4;3;-;-;-;1;-;-;-;8
351460 Dumont;1;3;3;5;6;13;-;-;-;-;-;2;33
351490 Elias Fausto;2;-;-;-;-;-;-;1;-;1;13;24;41
351492 Elisiário;-;-;-;-;-;-;-;-;-;-;3;-;3
351500 Embu das Artes;1;1;36;126;114;13;5;-;-;-;1;-;297
351510 Embu-Guaçu;1;1;-;4;2;-;-;-;-;-;-;-;8
351512 Emilianópolis;-;-;1;-;-;-;-;-;-;-;-;-;1
351515 Engenheiro Coelho;-;-;1;2;4;3;-;-;-;-;-;-;10
351518 Espírito Santo do Pinhal;1;-;-;1;3;-;-;-;-;1;1;-;7
355730 Estiva Gerbi;-;-;-;2;1;1;-;-;-;-;-;1;5
351520 Estrela d'Oeste;3;1;1;13;18;14;15;13;25;31;33;14;181
351530 Estrela do Norte;-;-;-;1;4;-;-;-;-;-;-;-;5
351535 Euclides da Cunha Paulista;-;1;1;1;4;-;-;-;-;-;-;-;7
351540 Fartura;-;-;-;2;-;-;-;-;-;-;-;-;2
351550 Fernandópolis;-;8;22;38;71;38;19;9;3;-;1;1;210
351565 Fernão;1;-;-;-;-;-;-;-;-;-;-;-;1
351570 Ferraz de Vasconcelos;2;1;3;5;6;4;1;-;1;-;1;-;24
351580 Flora Rica;-;-;-;-;1;2;-;1;-;-;2;-;6
351590 Floreal;-;-;-;1;3;-;-;-;-;-;-;-;4
351600 Flórida Paulista;-;-;-;3;47;21;10;3;-;-;-;4;88
351610 Florínia;-;-;20;32;-;1;-;-;-;-;-;-;53
351620 Franca;-;1;29;99;81;11;3;-;-;1;1;1;227
351630 Francisco Morato;-;7;112;460;206;43;7;3;3;-;-;-;841
351640 Franco da Rocha;2;15;136;599;771;141;10;-;1;1;-;1;1677
351650 Gabriel Monteiro;-;-;-;2;5;2;-;-;-;-;-;-;9
351660 Gália;1;-;-;1;-;-;-;-;-;-;-;-;2
351670 Garça;-;1;2;15;9;-;-;-;-;-;-;6;33
351680 Gastão Vidigal;1;-;-;1;2;-;-;-;7;1;-;-;12
351685 Gavião Peixoto;-;-;1;-;-;-;-;-;-;-;-;-;1
